lng,lat,Price,Capacity,CID
116.42103800000,39.82043400000,12000,17,0
116.52741600000,40.02800200000,25000,18,1
116.23910100000,39.92760900000,18000,31,2
116.70208500000,40.14527000000,13000,15,4
116.26987400000,40.24919200000,14000,22,5
116.41278000000,39.70042600000,13000,18,6
116.75172800000,39.86967100000,13000,11,7
116.39784900000,39.90828300000,20000,37,8
116.71032500000,40.39643500000,10000,21,9
116.57329200000,39.92748600000,30000,15,10
115.87189200000,40.36887400000,9000,39,11
116.92452300000,40.14458500000,13000,21,12
116.59603300000,39.68550500000,14000,26,13
116.35660000000,40.00524400000,18000,87,14
116.51372400000,40.16873600000,13000,22,15
116.16534800000,40.17430600000,12000,14,16
116.20699400000,39.84742200000,22000,31,17
116.50066200000,39.91770200000,30000,25,18
115.60623800000,39.62606000000,13000,10,19
116.68479800000,39.80822700000,14000,20,20
116.10153200000,39.68463500000,12000,13,21
116.10910300000,39.99583400000,15000,31,22
116.31499600000,39.82190200000,18000,41,23
116.28278000000,40.11797700000,14000,17,24
116.73454500000,39.99859700000,12000,42,25
116.62839200000,39.91392400000,13000,17,26
116.68479800000,39.80822700000,13000,27,27
116.31565100000,39.66709900000,12000,21,28
116.38262700000,39.80269600000,18000,20,29
116.24235100000,40.02009700000,22000,33,30
116.24662500000,39.73897200000,13000,12,31
116.02346400000,39.74679800000,14000,30,32
116.39526200000,40.08664200000,14000,19,33
117.23247500000,40.16217600000,11000,10,34
116.38420400000,40.66747900000,9000,12,35
116.68979100000,40.22647600000,12000,34,36
115.91743700000,40.18799800000,13000,15,37
115.99931500000,40.02692200000,14000,33,38
116.62267000000,40.06062200000,13000,30,39
116.50918500000,40.30438100000,8000,40,40
116.45171300000,39.88673400000,25000,40,41
116.58169000000,39.81905000000,13000,32,42
116.56926900000,39.96612200000,25000,66,43
116.43716800000,40.03562600000,20000,22,44
116.35886800000,39.60468400000,14000,16,45
116.97506600000,40.48674700000,11000,31,46
116.31268400000,39.87124700000,16000,23,47
116.30960400000,39.96778500000,20000,41,48
116.50928600000,40.09434000000,13000,38,49
116.59977400000,40.42770800000,8000,39,50
115.93794600000,39.74585300000,12000,36,51
116.60281400000,40.22859000000,12000,17,52
116.47822600000,40.10840000000,12000,24,53
116.51821600000,39.93007200000,35000,24,54
116.11353900000,40.09689100000,18000,15,55
116.73787900000,40.02946500000,12000,27,56
116.83760700000,40.12628100000,13000,21,57
116.16855600000,39.90345300000,15000,21,58
116.13615500000,39.78277400000,18000,12,59
116.00222100000,40.22814700000,13000,11,60
116.31158000000,40.20663400000,14000,54,61
116.42960900000,40.14265900000,14000,13,62
116.50803400000,39.91238900000,20000,15,63
116.32430400000,39.90299500000,20000,33,65
116.53660300000,39.87279400000,25000,31,66
116.18929300000,40.05555700000,16000,27,67
116.47394600000,40.49682900000,10000,32,68
116.62349700000,40.15988700000,14000,40,69
116.65296300000,39.96482700000,12000,10,70
116.01476200000,40.44958100000,10000,15,71
116.41001900000,40.27923900000,14000,12,72
116.62754700000,39.74025600000,13000,33,73
116.77939300000,40.23405500000,13000,25,74
116.54954000000,40.11673200000,12000,30,75
116.34958800000,40.16132300000,14000,40,76
116.71660200000,39.90377100000,12000,38,77
116.39152300000,39.46780800000,14000,30,78
116.50918500000,40.30438100000,8000,30,79
116.79464600000,39.76935300000,13000,32,80
116.41981800000,39.93275500000,25000,22,81
116.21456100000,39.98602500000,20000,38,82
116.64101800000,39.85690200000,12000,39,83
116.25098200000,39.83942000000,18000,66,84
115.88497800000,39.81731800000,12000,18,85
116.27027000000,40.05313000000,16000,24,86
116.34494200000,40.06936400000,13000,26,87
116.55438500000,39.72272700000,13000,51,88
116.83760700000,40.12628100000,14000,36,89
116.13831300000,40.22005500000,13000,17,90
116.58821000000,40.13693700000,13000,23,91
116.99477500000,40.18964100000,10000,21,93
116.21990900000,39.67079100000,13000,15,94
115.96942800000,39.93862400000,14000,12,95
115.85672800000,39.92543700000,15000,54,96
116.81077400000,40.39257000000,10000,14,97
116.39303100000,39.99496800000,25000,30,98
115.82079400000,40.50326400000,9000,26,99
116.58248200000,39.67204900000,13000,18,100
116.34042300000,39.73716200000,13000,28,101
116.44352200000,39.82538800000,20000,35,102
116.56281500000,40.00806500000,20000,40,103
116.37050400000,39.86080700000,20000,48,104
116.44458400000,39.68228500000,12000,22,105
116.35871600000,39.96804200000,16000,45,106
116.31299000000,39.67357400000,14000,18,107
116.28710300000,39.77709100000,14000,36,108
116.50909100000,39.99097100000,35000,19,109
116.46101700000,39.60305000000,13000,12,110
116.19927700000,40.11029900000,16000,18,111
116.65218900000,40.28602100000,10000,25,112
116.59388300000,39.90798100000,20000,25,113
115.97038200000,39.69660900000,12000,16,114
116.26394000000,39.99712600000,18000,51,115
116.15902200000,39.86235400000,18000,9,116
116.05215500000,40.00024400000,14000,17,117
116.68953200000,40.44255300000,8000,47,118
116.87636000000,39.70954500000,12000,18,119
116.25489800000,40.13008000000,14000,12,120
116.13737000000,40.10757000000,16000,13,121
116.08428800000,39.82279100000,18000,28,122
116.08553300000,39.75140800000,12000,13,123
116.48528800000,39.87785700000,35000,22,124
116.55538000000,40.08288600000,12000,66,125
116.32984100000,40.22306300000,13000,10,126
116.29995300000,39.93637300000,20000,19,127
116.46936500000,39.74995200000,14000,33,128
116.50693500000,39.94622600000,35000,20,129
116.20874300000,39.90704900000,14000,33,130
116.37845600000,39.72947600000,14000,28,131
116.46068600000,40.00117400000,20000,13,133
116.56337500000,40.13725300000,14000,14,134
116.11167700000,39.86593800000,16000,14,135
116.06064100000,40.08480100000,18000,36,136
116.28112900000,39.61545300000,14000,24,137
116.50149400000,39.92854300000,20000,51,138
117.11241500000,40.21406100000,10000,21,139
116.43343600000,39.76276900000,13000,40,140
116.12769800000,39.69581000000,12000,11,141
116.52920200000,39.90190200000,35000,19,142
116.48898500000,40.05475600000,25000,35,143
116.33056200000,39.65943400000,14000,31,144
116.28322400000,40.10810300000,14000,36,145
116.10367400000,39.92758100000,15000,21,146
116.58088000000,39.64834400000,14000,10,147
116.06628500000,39.75680900000,13000,33,148
116.29644900000,40.04741300000,20000,27,149
116.35802500000,39.97438400000,20000,33,150
116.68596400000,39.90885400000,12000,31,151
116.34456900000,39.85506100000,16000,81,152
115.79324600000,39.61971600000,12000,36,153
116.58798500000,40.34059900000,8000,36,154
116.30184400000,39.88801900000,20000,9,155
116.59486700000,39.97590100000,30000,51,156
116.10267600000,39.95069500000,14000,45,157
115.94163800000,40.44536700000,8000,55,158
116.31491900000,39.98602700000,20000,45,159
116.25558800000,39.96155700000,16000,23,160
116.52763900000,39.84675000000,25000,36,161
116.74435200000,40.34440000000,10000,18,162
116.48761700000,40.01812500000,20000,66,163
116.06635600000,40.24018000000,13000,17,164
116.71141300000,39.86167600000,14000,19,165
116.62725400000,39.82574900000,12000,14,167
116.25012200000,39.78183200000,13000,12,168
116.59283300000,39.85421600000,25000,22,169
115.85007900000,39.74584400000,13000,31,170
116.28949600000,40.13407200000,12000,12,171
116.15869500000,39.82918800000,18000,34,172
116.72152400000,40.17919200000,14000,30,173
116.65432800000,40.34077000000,9000,12,174
116.40202800000,39.97729100000,25000,54,175
116.48453900000,39.80108800000,13000,27,176
116.06247000000,39.70617300000,14000,15,177
116.44000800000,39.92007200000,20000,31,178
116.48497900000,40.13853800000,13000,17,179
116.42845500000,39.86652100000,20000,14,180
116.34062500000,39.82202200000,18000,28,181
116.38437200000,39.88690500000,25000,18,182
116.59993100000,39.97905300000,25000,18,183
116.72221100000,40.10520900000,13000,30,184
116.66275000000,40.02170500000,12000,18,185
116.50437000000,39.96101500000,25000,25,186
116.43602800000,40.05097700000,35000,18,187
116.61532900000,39.77842800000,13000,36,188
116.48090900000,39.89959100000,25000,32,189
116.32852600000,40.39992800000,9000,43,190
116.25560800000,39.94569100000,16000,21,191
116.05541900000,40.17995700000,14000,27,192
116.19403100000,39.94466500000,15000,18,193
116.27029400000,40.17683900000,13000,54,194
116.76597300000,39.95159300000,12000,16,196
116.53245900000,40.11962700000,12000,10,197
116.55752900000,40.17419800000,12000,16,198
115.92124600000,39.64890600000,13000,35,199
115.96809600000,39.75395300000,13000,25,200
116.18649400000,39.91057100000,16000,31,201
116.65253500000,39.82989900000,13000,45,202
116.35368300000,40.10630100000,13000,63,203
116.53938100000,39.79059400000,14000,11,204
116.25670400000,40.01044400000,20000,10,205
116.53445700000,39.74130500000,13000,57,206
116.72197400000,39.86540000000,12000,18,207
116.24096100000,40.10792000000,13000,38,208
116.16915200000,40.03008800000,16000,84,209
116.16218100000,39.70586900000,13000,43,210
116.17230100000,39.91435200000,15000,42,211
116.29982300000,39.87679600000,16000,14,212
116.45560000000,40.15579300000,14000,54,213
116.64020300000,40.55414900000,8000,19,214
116.29846300000,40.01007100000,18000,7,215
116.40201000000,40.05404800000,14000,22,216
115.99329900000,39.93692600000,15000,16,217
115.94896300000,40.05179700000,15000,18,218
116.74496800000,40.06771300000,12000,31,219
116.62794200000,39.71119700000,14000,45,220
116.76902100000,39.85687400000,12000,14,221
116.78915900000,40.12636100000,13000,12,222
116.46826600000,39.93963900000,25000,19,223
116.56117400000,39.94050200000,35000,32,224
116.72197400000,39.86540000000,12000,90,225
116.77050100000,40.16243400000,13000,7,226
116.77078700000,39.72738500000,13000,27,227
116.64516800000,40.20812900000,12000,54,229
116.56727000000,39.89998200000,20000,48,230
116.24279300000,39.85490500000,16000,43,231
116.54091400000,39.89628900000,20000,19,232
116.68953200000,40.44255300000,10000,18,233
116.33942700000,39.96173000000,18000,37,234
116.20988400000,39.78859800000,13000,34,235
116.37238900000,39.76972200000,12000,13,236
116.46936300000,39.82628500000,35000,20,237
116.74953400000,39.92818800000,12000,8,238
116.37098700000,39.78651400000,20000,24,239
116.31745300000,40.00163500000,18000,42,240
116.43331900000,39.97144200000,30000,32,241
116.45098100000,39.84719200000,25000,24,242
116.27846600000,39.87232100000,22000,21,243
116.41311500000,39.65077000000,13000,33,244
116.28893300000,39.67562100000,14000,24,245
116.27957300000,39.99946100000,20000,25,246
116.45273100000,40.30405500000,8000,23,247
116.26357600000,39.88938400000,20000,16,248
116.31110800000,39.94087800000,22000,35,249
116.55295300000,40.39477600000,9000,21,250
116.01605700000,39.63425300000,14000,43,251
116.01552900000,39.92220700000,14000,33,252
116.52148000000,40.07712400000,13000,42,253
116.27351400000,39.93874500000,18000,30,254
116.40604100000,39.81617500000,20000,29,255
116.28267600000,39.91700800000,16000,16,256
116.40714500000,40.62956100000,8000,27,257
116.59320200000,39.73461000000,13000,42,258
116.50083100000,39.84457500000,30000,37,259
116.56202700000,39.77729500000,13000,30,260
116.82361700000,40.08139900000,12000,18,261
116.27643700000,39.81113900000,16000,42,262
116.13102900000,39.87981000000,20000,18,263
116.17182300000,40.13588000000,18000,60,264
116.40253500000,39.94316800000,30000,30,265
116.43186800000,39.87005500000,16000,24,266
116.67993600000,39.87024500000,13000,60,267
116.70971900000,39.82122400000,14000,25,268
116.54113000000,39.90319500000,35000,108,269
116.21865800000,39.82896100000,18000,17,270
116.35249400000,39.76713400000,13000,23,271
116.64824800000,40.09588400000,12000,14,272
116.66885100000,39.97828900000,13000,23,273
116.39679600000,39.69384600000,13000,18,274
116.26443700000,39.70960600000,13000,54,275
116.05225200000,39.68498900000,13000,18,276
116.21075100000,39.96911100000,20000,29,277
116.34876400000,39.93103500000,20000,30,278
116.36561800000,39.71580400000,14000,33,279
116.62728100000,39.99780100000,25000,19,280
116.50073700000,40.01531100000,20000,12,281
116.25848500000,40.31776300000,13000,39,282
116.37945000000,39.84360600000,22000,17,283
116.19440600000,40.06852600000,20000,10,284
116.15662800000,39.92549300000,14000,51,285
116.67817400000,40.04361600000,12000,42,286
116.48765700000,39.77544500000,14000,48,287
116.24689700000,39.63526300000,12000,18,288
116.42687900000,39.60189700000,13000,18,289
116.62569400000,40.11438600000,12000,35,290
116.71038400000,39.94413500000,12000,18,291
116.24686600000,40.22031000000,14000,30,292
116.40311300000,40.15634200000,14000,40,293
116.30257600000,40.14886300000,14000,24,294
116.71683300000,40.36459800000,11000,27,295
116.67181300000,40.11152200000,12000,18,296
116.48193200000,39.98281700000,30000,78,297
116.23645300000,40.13331500000,18000,16,298
116.18474800000,39.99421700000,18000,16,300
116.54669500000,39.84949400000,25000,24,301
116.63410700000,40.38532900000,8000,25,302
116.18315400000,39.76413000000,13000,14,303
116.23352500000,39.98705300000,16000,19,304
116.28395100000,40.02529000000,20000,11,305
116.21193200000,39.69176900000,13000,10,306
116.52075100000,40.04767300000,30000,69,307
116.23043400000,40.06948600000,16000,37,308
116.17229200000,39.61357000000,13000,25,309
116.18453600000,39.87783100000,16000,37,310
116.27515900000,39.86930200000,20000,42,311
116.10845100000,40.25058300000,14000,9,312
116.39739800000,39.74382500000,13000,35,313
116.72224800000,40.20213400000,12000,36,314
116.39479200000,39.86180500000,30000,46,315
116.32652300000,39.75973300000,14000,28,316
116.19572500000,39.90526600000,14000,15,317
116.07207900000,39.96677700000,14000,18,318
116.06424900000,39.77675300000,13000,39,319
116.91882700000,40.11419800000,13000,33,320
116.18708600000,39.86230700000,18000,24,321
116.61886600000,39.94191700000,25000,24,322
116.66380300000,39.92520400000,12000,42,323
116.21531700000,40.03601600000,20000,69,324
116.23611900000,39.88066200000,18000,33,325
116.35459800000,40.03187000000,18000,38,326
116.20476600000,39.69277600000,13000,18,327
116.71058800000,40.25279700000,13000,12,328
116.70586200000,39.98337300000,14000,24,329
116.74420200000,40.14687400000,13000,15,330
116.51728400000,39.79010700000,14000,22,331
116.58407300000,39.92574200000,30000,11,332
116.62636900000,40.28344800000,10000,33,333
116.37208200000,40.06971000000,13000,48,334
116.44550300000,39.85891600000,20000,17,335
116.83149300000,39.85063000000,13000,13,336
116.80854100000,39.79791700000,12000,24,337
116.42098700000,39.87725200000,35000,18,338
116.16318500000,40.09434800000,18000,18,339
116.33074300000,40.07672300000,14000,30,340
116.54703600000,40.26100700000,13000,51,341
116.76480700000,39.91891000000,13000,18,342
116.88854900000,40.07614200000,13000,19,343
116.52698300000,40.00172100000,25000,45,344
116.54039200000,40.16630600000,13000,36,345
116.17783800000,40.19831800000,13000,18,346
116.40255800000,39.79568400000,18000,42,348
116.36443800000,39.89761200000,20000,17,349
116.29824900000,39.90584600000,16000,24,350
116.04991600000,39.59437400000,13000,15,351
116.25783500000,40.11499200000,13000,18,352
116.62349200000,39.62387400000,14000,19,353
116.54714700000,39.65636600000,14000,28,354
116.13884500000,40.13541700000,13000,13,355
116.36498700000,39.69734900000,14000,96,356
116.11772900000,39.78317700000,14000,39,357
116.57506400000,40.04534700000,12000,29,358
116.73787900000,40.02946500000,12000,144,359
116.41651000000,39.54043000000,13000,36,360
116.27669100000,39.74474300000,13000,30,361
116.60142000000,39.79871900000,13000,24,362
116.29119400000,40.05813400000,18000,33,363
116.37074800000,39.87138000000,30000,10,364
116.37175300000,39.98928000000,30000,30,365
116.48657800000,40.12294600000,13000,23,366
116.49179100000,39.74973800000,14000,57,367
116.29451300000,39.76171600000,13000,27,368
116.64639600000,39.80052500000,13000,36,369
116.51256100000,39.98270100000,35000,18,371
116.63156800000,39.95716200000,25000,21,372
116.67347700000,39.94606900000,13000,30,373
116.24132600000,39.90450400000,15000,23,374
116.31376400000,39.79022900000,18000,45,375
116.47167200000,39.65461300000,14000,22,376
116.72585300000,40.42148700000,11000,33,377
116.37585600000,39.95425400000,35000,22,378
116.30700700000,39.84076200000,16000,24,379
116.26891200000,39.83466100000,22000,27,380
116.06540700000,39.65918800000,14000,22,382
116.20015500000,40.13243900000,18000,22,383
116.20543900000,40.22091900000,14000,30,384
116.45245700000,40.01947400000,25000,18,385
116.50865500000,39.86924400000,25000,20,386
116.28150800000,39.98611700000,22000,17,387
116.66320600000,39.76020500000,12000,37,388
116.31078900000,40.09482500000,12000,18,389
116.66275000000,40.02170500000,12000,156,390
116.52305000000,39.90605000000,30000,12,391
116.17285600000,39.80680200000,16000,37,392
116.53629700000,39.93402900000,25000,18,393
116.11452300000,39.75001300000,13000,30,394
116.45576000000,39.96822500000,35000,12,395
116.15241800000,39.90019200000,14000,19,396
116.26535900000,40.07289100000,18000,23,397
116.23291500000,40.16345900000,14000,51,398
116.41715500000,39.98466200000,20000,21,399
116.46005600000,40.21600600000,13000,31,400
116.66005200000,39.89156000000,13000,15,401
116.33722200000,39.98882200000,18000,25,402
116.52486100000,39.89902300000,35000,15,403
116.64573900000,39.67427600000,13000,19,404
116.33709900000,40.14164500000,14000,19,405
116.18949400000,39.90924100000,14000,162,406
116.23964300000,39.68049700000,13000,14,407
116.20759600000,40.03672700000,18000,44,409
116.27874700000,39.89322500000,18000,37,410
116.45939400000,39.89934300000,20000,35,411
116.69652800000,39.76847800000,12000,30,412
116.37421500000,39.99744500000,30000,9,413
116.69150200000,39.90632200000,13000,22,414
116.43871600000,40.08798500000,12000,23,415
115.98202200000,39.84009100000,14000,34,416
116.31594500000,40.02171600000,18000,39,417
116.50503900000,39.81448400000,12000,28,418
116.32805200000,39.88145100000,20000,25,419
116.03604700000,39.87760000000,15000,24,420
116.03533300000,39.92911500000,14000,12,421
116.48100700000,39.86209700000,20000,16,422
116.65473300000,40.26195000000,8000,24,423
116.23214900000,40.00795800000,18000,45,424
116.33872000000,39.91333600000,30000,17,425
116.44302100000,40.00101700000,35000,12,426
116.57879100000,39.98844800000,25000,17,427
116.75537200000,39.83591600000,12000,13,428
116.78856400000,39.84587400000,12000,19,429
116.23422300000,39.99713500000,18000,20,430
116.08029700000,39.87728000000,14000,30,431
116.60141200000,39.99733400000,25000,26,432
116.54005700000,39.91024300000,25000,14,433
116.16328600000,40.02991000000,20000,36,434
116.62858900000,40.23943400000,12000,27,436
116.41339600000,40.03006800000,30000,27,437
116.08342000000,40.18620100000,13000,18,438
116.56965100000,39.87739300000,25000,31,439
116.32216900000,39.92956300000,16000,48,440
116.29523900000,39.78652400000,18000,21,441
116.57566900000,39.95289400000,25000,19,442
116.13378900000,39.80849500000,18000,22,443
116.39586400000,40.00561900000,25000,33,445
116.14565000000,39.67352100000,14000,27,446
116.63268100000,39.92381400000,12000,18,447
116.49674500000,39.71672000000,14000,30,448
116.24060800000,39.97438100000,18000,93,449
116.48917300000,39.91492700000,30000,30,450
116.51780400000,39.94509300000,35000,14,451
116.75108600000,39.68967200000,13000,15,452
116.53356600000,39.80471800000,14000,20,453
116.42690800000,39.89393500000,35000,20,454
116.38745700000,40.30594500000,12000,17,455
116.14826100000,39.73765400000,12000,13,456
116.36539500000,39.83016600000,18000,7,457
