lng,lat,Price,Capacity,CID
115.92152,39.928172,15000,22,0
116.75495,40.045067,14000,20,1
116.306061,39.854053,22000,31,2
116.306745,39.820115,20000,16,3
116.468124,39.778084,13000,9,4
116.755766,40.403976,11000,29,5
116.075776,40.465731,9000,17,6
116.096266,40.348453,12000,9,7
116.845319,39.702232,12000,10,8
116.299055,40.033802,18000,18,9
117.003784,40.076209,12000,16,10
116.517827,40.042552,30000,39,11
116.332619,39.608799,13000,27,12
116.031294,40.004443,14000,18,13
116.644084,39.859663,13000,134,14
116.76961,39.883952,13000,16,15
116.626197,40.204222,13000,10,16
116.77839,40.561429,12000,10,17
116.18168,39.694048,13000,33,18
116.971992,40.368991,10000,12,19
116.459931,40.106831,14000,20,20
116.625049,40.18283,12000,10,21
115.79756,39.733809,13000,34,22
116.457125,39.876425,25000,7,23
115.848685,39.581991,13000,12,24
117.143974,40.164394,11000,31,25
116.73172,39.853553,13000,13,26
116.518788,39.650084,12000,21,27
116.78365,40.20313,13000,22,28
116.41242,39.864573,16000,14,29
116.572892,39.924122,30000,18,30
116.829272,40.170029,12000,14,31
116.425388,40.137807,13000,21,32
116.384018,40.058315,14000,8,33
116.242591,40.144915,14000,13,34
117.278399,40.655762,10000,17,35
116.239055,39.956813,22000,9,36
116.228499,39.828155,18000,20,37
116.39471,40.017679,20000,34,38
116.029816,39.769082,13000,31,39
116.437875,39.78605,12000,22,40
115.95464,40.224975,14000,21,41
116.189896,40.04299,20000,10,42
116.605751,39.750695,13000,36,43
116.254165,40.027506,18000,9,44
115.597256,39.849552,16000,8,45
116.649679,40.061703,13000,31,46
116.760058,40.291387,11000,10,47
116.67267,40.091822,13000,12,48
116.27331,40.641761,8000,22,49
116.281348,39.788663,14000,35,50
116.403336,39.896039,30000,36,51
115.959937,39.976704,15000,10,52
116.139524,39.776494,18000,18,53
116.709766,39.786602,12000,30,54
116.669467,39.900488,12000,12,55
116.64726,40.307861,8000,33,56
116.039904,40.291942,13000,27,57
116.511924,40.265493,10000,14,58
115.949874,40.100767,13000,12,59
116.855679,40.300463,10000,8,60
116.149125,39.998152,14000,33,61
116.869115,40.074667,12000,13,62
116.352465,39.896483,35000,8,63
116.277699,39.652685,14000,16,64
116.376817,39.68756,14000,33,65
116.339859,39.702954,13000,22,66
116.466729,39.959755,20000,18,67
116.098935,40.101004,20000,32,68
116.743943,39.9491,12000,39,69
116.140395,40.333389,13000,9,70
116.429538,39.676791,13000,16,71
115.947259,39.71456,13000,10,72
116.342773,40.12837,13000,39,73
116.210324,39.86539,16000,27,74
116.773497,40.803966,8000,21,75
115.992555,40.100064,14000,20,76
117.079085,40.521383,11000,30,77
116.036473,39.946709,14000,21,78
116.315098,39.959273,16000,39,79
116.547752,39.815914,12000,32,80
116.534066,40.522534,10000,10,81
115.89874,40.489338,9000,12,82
116.286954,39.940648,16000,26,83
117.092621,40.211389,10000,36,84
115.782498,39.546062,12000,10,85
116.155824,40.56482,9000,17,86
116.366556,39.484215,13000,21,87
116.665774,39.701672,12000,29,88
116.528732,40.159364,13000,8,89
115.990687,39.859494,14000,20,90
116.690234,40.209641,13000,29,91
116.627724,40.767323,12000,16,92
116.384633,39.851319,16000,18,93
116.750435,39.849403,12000,18,94
115.855975,40.145824,14000,8,95
116.416247,39.739368,13000,84,96
116.470251,40.044944,30000,12,97
116.496927,39.833527,30000,38,98
116.628918,40.125539,12000,34,99
116.407046,40.085685,13000,16,100
116.627799,40.639385,12000,10,101
117.305852,40.15658,11000,10,102
115.494961,39.718133,13000,12,103
116.217321,40.098376,16000,31,104
116.878587,40.565133,11000,18,105
116.304916,40.163506,14000,35,106
117.007016,40.276994,12000,22,107
116.584538,40.000705,25000,27,108
115.935479,39.67932,12000,10,109
115.918034,40.380233,9000,7,110
116.573195,40.386579,12000,9,111
116.112189,39.725955,12000,33,112
116.268054,39.722538,14000,17,113
116.748966,39.71231,13000,16,114
116.487188,39.587796,14000,32,115
115.702551,39.757412,13000,7,116
115.833611,40.047136,14000,21,117
116.245074,40.197956,14000,14,118
116.511221,39.757317,12000,12,119
116.896611,40.249189,11000,10,120
116.286776,39.944801,18000,10,121
116.280084,40.148673,14000,23,122
116.17929,40.27149,13000,8,123
116.448724,39.947421,25000,10,124
116.09098,39.795418,20000,37,125
115.712808,39.589693,13000,10,126
116.585712,40.217179,12000,8,127
116.529055,39.93821,20000,33,128
116.420578,40.274241,13000,22,129
116.193424,39.94459,14000,20,130
116.684475,40.007839,12000,33,131
116.760058,40.291387,12000,16,132
116.853496,40.388545,11000,7,133
116.881118,40.452885,10000,12,134
116.364294,39.849929,18000,10,135
116.957752,40.150881,12000,22,136
115.727399,39.926574,15000,31,137
116.150727,39.853559,16000,38,138
116.714723,40.129679,12000,27,139
116.209954,39.996314,18000,31,140
116.332501,40.561238,8000,12,141
116.808227,40.215524,12000,25,142
116.329397,40.191145,13000,29,143
116.627724,40.767323,9000,10,144
116.224071,39.911046,15000,22,145
116.29115,39.523796,13000,17,146
116.466603,40.343834,8000,9,147
116.17985,40.15995,14000,33,148
116.614025,39.664011,13000,35,149
116.613126,39.893214,13000,33,150
116.479989,40.086192,12000,31,151
116.418579,39.811509,13000,68,152
116.197771,39.827893,16000,36,153
116.648619,39.767129,13000,22,154
116.679099,40.381534,8000,7,155
116.344777,39.891133,30000,74,156
116.704858,39.676381,13000,26,157
116.095321,39.948262,14000,110,158
116.644839,40.023019,12000,29,159
116.821916,40.078898,12000,20,160
115.888971,39.638472,12000,21,161
116.703824,39.91737,12000,18,162
116.483976,39.687318,13000,36,163
116.21975,40.029303,22000,20,164
116.397262,39.951307,30000,25,165
116.332501,40.561238,8000,16,166
116.167035,39.734747,12000,8,167
116.733092,40.472878,11000,12,168
116.052964,39.85404,14000,22,169
116.379826,40.102993,13000,31,170
116.364938,39.852666,20000,18,171
115.9948,39.618985,13000,12,172
116.524685,39.706226,14000,39,173
116.296236,40.335092,13000,12,174
116.563537,39.897855,20000,36,175
116.403501,39.837292,20000,21,176
116.46393,39.841808,20000,17,177
116.154681,39.625182,12000,30,178
116.697063,39.962673,12000,22,179
116.291465,39.840817,16000,8,180
116.553254,40.212306,12000,23,181
116.58959,39.915285,25000,7,182
116.830534,39.75699,13000,22,183
116.778356,39.800994,13000,34,184
116.492836,40.004932,35000,23,185
116.370862,40.021073,25000,29,186
116.119367,40.146929,14000,22,187
116.500811,39.961381,25000,30,188
116.912631,40.398032,10000,23,189
116.528973,40.091297,14000,56,190
116.955987,40.267285,10000,22,191
116.02982,40.428214,8000,34,192
116.358414,39.995161,20000,10,193
116.503148,39.89792,30000,40,194
116.733092,40.472878,10000,16,195
117.161589,40.315788,12000,21,196
116.039142,40.107114,14000,8,197
116.242429,39.605862,13000,10,198
116.440907,39.917079,30000,35,199
116.21881,39.961434,20000,33,200
116.208036,39.763989,13000,31,201
116.590563,40.254356,13000,26,202
116.347249,39.779293,13000,32,203
116.322428,39.926639,18000,10,204
116.322175,39.927355,22000,8,205
116.505497,39.783121,13000,33,206
116.290748,40.254904,13000,17,207
117.127321,40.084046,11000,38,208
116.427232,40.187273,13000,36,209
116.482711,40.1777,13000,57,210
115.999491,39.721279,12000,39,211
115.876843,39.887637,14000,12,212
116.284769,39.909589,20000,36,213
116.56141,39.757955,14000,25,214
116.214235,40.337025,14000,7,215
116.25578,39.994194,22000,22,216
116.473588,39.913093,35000,21,217
116.434271,39.836689,25000,23,218
116.264255,39.69234,13000,31,219
116.670598,39.8932,13000,33,220
116.093092,40.59535,9000,8,221
116.805906,40.433259,11000,13,222
116.590473,39.807149,14000,17,223
116.68061,40.104804,13000,10,224
116.276192,40.219769,14000,22,225
116.273001,39.957087,22000,8,226
116.13924,40.392228,9000,21,227
115.712417,40.022416,15000,16,228
116.081922,40.048303,16000,31,229
116.554094,39.985481,30000,37,230
116.885937,40.119676,12000,31,231
116.273785,40.013348,20000,22,232
116.339596,40.04456,20000,17,233
115.712417,40.022416,14000,10,234
116.308336,40.069778,13000,38,235
116.345021,40.00549,20000,16,236
116.387386,39.521958,12000,18,237
117.231222,40.197327,10000,8,238
116.223133,40.080392,18000,35,239
116.251775,39.81594,16000,27,240
116.574349,40.158882,14000,39,241
116.417173,39.973401,30000,17,242
115.990261,40.311172,13000,21,243
115.980109,39.793541,13000,35,244
116.345344,39.944343,20000,13,245
116.265941,40.122166,14000,33,246
116.686938,39.756457,12000,30,247
116.425681,39.622448,14000,21,248
116.029707,39.650652,12000,35,249
116.892692,40.21718,13000,21,250
116.357644,39.982342,20000,85,251
116.237431,40.494499,9000,31,252
116.163907,40.227076,14000,34,253
116.435688,39.708185,13000,25,254
116.607437,40.116358,13000,12,255
116.560439,39.96266,30000,12,256
116.158719,39.974413,14000,35,257
116.495814,39.859281,20000,30,258
116.675657,40.169406,13000,31,259
116.986599,40.435878,12000,22,260
116.312668,39.731963,13000,23,261
116.919654,40.332133,11000,12,262
116.925522,39.792279,12000,10,263
116.326331,40.095139,14000,33,264
116.554176,40.4451,12000,12,265
116.325272,39.819533,18000,31,266
116.429669,40.070747,14000,34,267
116.146645,40.498454,8000,10,268
116.521558,40.00511,25000,21,269
116.245544,39.946147,16000,10,270
116.31304,39.668111,14000,7,271
116.441542,39.983752,20000,17,272
116.26106,40.11846,13000,21,273
116.154162,40.117222,20000,17,274
116.243072,39.887501,16000,38,275
116.922579,40.066315,12000,23,276
116.362056,40.463873,8000,23,277
116.175519,39.961535,14000,23,278
116.261985,40.116361,13000,26,279
116.60364,40.35354,10000,23,280
116.54839,39.950418,30000,16,281
116.205807,40.203988,12000,23,282
116.239284,40.116834,13000,17,283
116.448548,40.469093,12000,12,284
116.188027,39.930117,14000,39,285
116.091854,39.889891,14000,56,286
116.385432,40.18662,14000,39,287
116.388117,40.163078,13000,17,288
116.328321,39.978325,22000,12,289
116.068017,39.729508,12000,18,290
116.402891,40.0696,12000,12,291
116.741516,39.89697,12000,10,292
116.478168,39.745854,13000,30,293
116.476427,39.932834,30000,31,294
116.145627,40.064759,22000,31,295
116.251428,40.029748,18000,10,296
116.132412,39.746674,13000,53,297
117.020347,40.122878,10000,20,298
116.391745,40.162628,14000,16,299
116.606723,40.027586,12000,18,300
116.582144,39.870227,20000,30,301
115.894306,39.719943,13000,33,302
115.909507,39.846875,13000,10,303
115.982057,40.451271,8000,23,304
116.384426,40.161713,13000,7,305
115.820302,40.537833,10000,16,306
116.371077,39.925565,30000,38,307
116.432621,40.013405,30000,22,308
116.353721,40.018343,20000,7,309
116.396646,39.78218,14000,37,310
116.217845,39.653153,14000,23,311
116.795798,39.753782,12000,10,312
116.439058,39.893927,20000,14,313
116.505355,40.40154,9000,21,314
116.12456,39.830347,16000,34,315
116.198823,40.228352,13000,9,316
116.318418,39.691586,14000,8,317
116.394655,39.839727,16000,10,318
116.389767,39.590393,13000,32,319
115.961573,39.907036,15000,21,320
116.268846,40.041295,16000,18,321
116.26877,40.131596,12000,21,322
116.451812,39.849268,25000,30,323
116.328749,39.930748,30000,35,324
116.588997,40.121076,13000,20,325
116.78676,40.059315,12000,21,326
116.85294,40.059205,13000,10,327
116.569662,39.923575,30000,13,328
116.241208,40.257824,13000,23,329
116.086213,39.696682,13000,10,330
116.823937,40.329642,11000,21,331
116.669082,39.81954,12000,26,332
116.721883,40.251641,12000,33,333
