YEAR,Birth,Death,Immigration,Emigration,Marriage,Divorce,Income
2021,92942,7143,389974,46700,76380,19787,12612
2022,97217,7728,405963,48717,77686,32532,13627
2023,101493,8060,421953,50735,80431,34235,14641
2024,105768,8393,437942,52752,83177,35938,15656
2025,110043,8725,453932,54770,85922,37640,16671
2026,114319,9057,469921,56787,88667,39343,17686
2027,118594,9390,485911,58805,91413,41046,18701
2028,122869,9722,501900,60822,94158,42749,19715
2029,127145,10054,517890,62840,96904,44451,20730
2030,131420,10387,533879,64857,99649,46154,21745
2031,135695,10719,549868,66874,102394,47857,22760
2032,139971,11052,565858,68892,105140,49560,23775
