hhd,pid,age_group,gender,age,income,hhd_income,education_level,status,number,license,cv,bev,phev,buybev,buyphev,buycv,fri,adv,nei,old-pid,OLD-hid,Number1,Long,Lat,S11,S11L,S12,S12L,S13,S13L,S21,S21L,S22,S22L,S23,S23L,L11,L11L,L12,L12L,L13,L13L,L21,L21L,L22,L22L,L23,L23L
1,1,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8953067,22.48545968,2,3,0,0,0,0,2,1,2,1,0,0,5,2,1,2,2,3,0,0,0,0,0,0
1,2,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0665768,22.51979943,1,3,2,1,5,2,0,0,0,0,0,0,2,3,4,1,4,2,1,3,0,0,0,0
1,3,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0363975,22.57228122,5,2,5,2,0,0,2,2,0,0,0,0,4,3,3,3,4,2,2,2,1,3,1,2
2,4,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0237941,22.60102673,5,3,5,3,0,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.2365236,22.58810713,0,0,0,0,0,0,1,2,1,2,0,0,2,1,2,2,1,3,2,3,1,1,1,2
2,6,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9433599,22.77011474,0,0,0,0,0,0,1,3,2,2,1,2,3,2,1,2,2,3,0,0,0,0,0,0
3,7,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8875857,22.49076602,3,3,4,3,4,2,1,3,2,3,1,1,4,1,1,1,4,3,1,2,1,1,0,0
3,8,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9240269,22.48217037,5,3,1,2,0,0,1,1,1,3,2,2,3,2,1,3,2,2,1,3,1,1,0,0
3,9,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9621245,22.54681796,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
4,10,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0178593,22.5575223,0,0,0,0,0,0,2,3,2,2,2,1,1,2,4,2,4,1,1,1,0,0,0,0
4,11,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9633945,22.57023489,0,0,0,0,0,0,1,1,0,0,0,0,3,3,1,3,1,3,1,3,0,0,0,0
4,12,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1260941,22.57110438,1,3,0,0,0,0,0,0,0,0,0,0,4,2,1,2,0,0,1,3,1,3,0,0
5,13,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0646213,22.69077496,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,4,1,1,2,2,3,1,3
5,14,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0136501,22.6753403,4,1,5,1,3,2,1,3,2,2,2,3,2,1,3,2,0,0,0,0,0,0,0,0
5,15,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.3021619,22.59713807,5,2,3,2,2,3,0,0,0,0,0,0,3,3,4,2,3,3,2,2,1,3,2,3
6,16,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.4136533,22.62927317,4,2,1,3,2,3,2,1,2,2,0,0,3,3,2,1,2,1,1,3,0,0,0,0
6,17,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.3184147,22.67755491,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3
6,18,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2457927,22.71076303,1,2,1,3,2,2,2,3,0,0,0,0,5,3,4,3,1,3,1,3,0,0,0,0
7,19,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8488247,22.61528135,5,3,1,1,2,1,0,0,0,0,0,0,1,2,1,3,2,2,2,1,0,0,0,0
7,20,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9101184,22.66013986,3,2,0,0,0,0,0,0,0,0,0,0,5,3,2,2,3,3,1,3,2,2,1,3
7,21,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8387162,22.6868096,4,3,4,3,5,2,1,3,2,3,1,2,4,2,2,2,1,3,2,2,1,2,2,3
8,22,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9334791,22.49288787,3,2,3,1,3,3,1,3,1,3,1,1,3,3,2,1,5,1,2,3,0,0,0,0
8,23,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9114708,22.50905464,5,2,3,3,5,2,2,3,2,2,1,3,3,2,5,1,3,3,0,0,0,0,0,0
8,24,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9367327,22.50231231,2,2,1,2,1,2,0,0,0,0,0,0,1,3,2,3,5,3,2,2,1,2,1,3
9,25,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9113472,22.53336493,1,1,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2
9,26,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0885324,22.5406077,3,2,3,1,1,2,2,2,2,2,2,3,0,0,0,0,0,0,2,1,2,2,0,0
9,27,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0824115,22.5387521,4,2,2,2,2,3,2,2,2,3,2,1,2,3,5,2,1,2,0,0,0,0,0,0
10,28,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0403313,22.51237193,5,1,0,0,0,0,0,0,0,0,0,0,5,1,1,2,2,2,1,3,0,0,0,0
10,29,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.013636,22.54014443,2,1,0,0,0,0,1,2,0,0,0,0,1,3,3,1,1,2,2,1,1,1,0,0
