firms-ID,x-coordinate,y-coordinate,capacity,staff,cost
1675, 113.7976492, 22.698087, 5, 3.867158671586716, 1911540
1155, 113.9365588, 22.55688771, 2, 1.2890528905289054, 568256
2005, 114.1942113, 22.64106038, 2, 0, 2677652.120743034
1506, 114.1233485, 22.56924998, 5, 3.867158671586716, 3318519
1571, 114.2549672, 22.57753579, 2, 1.2890528905289054, 1161584
1569, 113.8059591, 22.72585783, 5, 3.867158671586716, 4058715
755, 113.9923093, 22.58984621, 11, 9.023370233702337, 9580410
1001, 114.2282188, 22.54732311, 2, 1.2890528905289054, 1101464
399, 114.0984549, 22.56231854, 8, 6.445264452644526, 4461480
1648, 114.3004647, 22.59594151, 3, 2.5781057810578107, 1528692
1748, 113.8225134, 22.71739482, 3, 2.5781057810578107, 2325960
327, 114.2847691, 22.67326189, 12, 10.312423124231243, 6295200
1173, 113.8200876, 22.70560139, 2, 1.2890528905289054, 785180
440, 113.9158069, 22.73178047, 2, 1.2890528905289054, 930888
727, 114.1161173, 22.59930781, 5, 3.867158671586716, 2234940
721, 113.9439491, 22.77869306, 6, 5.1562115621156215, 2183760
1762, 114.0610122, 22.63303021, 21, 18.046740467404675, 14699580
59, 114.2175072, 22.66480641, 3, 2.5781057810578107, 2167210
1059, 114.0859619, 22.53889373, 5, 3.867158671586716, 3536793
902, 114.261562, 22.58687942, 5, 3.867158671586716, 3863370
1423, 114.3294027, 22.68940797, 3, 2.5781057810578107, 1975424
1110, 113.9856891, 22.52621558, 2, 1.2890528905289054, 1202172
82, 114.1209736, 22.57481572, 5, 3.867158671586716, 1497330
627, 113.9064831, 22.75491946, 2, 1.2890528905289054, 1056728
521, 114.0923412, 22.55686737, 2, 1.2890528905289054, 684589
668, 113.8380979, 22.76558553, 9, 7.734317343173432, 7416576
1051, 114.1091996, 22.58050961, 9, 7.734317343173432, 7290480
573, 113.8415874, 22.63328315, 2, 1.2890528905289054, 1173165
1945, 113.9560825, 22.70340427, 5, 3.867158671586716, 2493546
248, 114.0158759, 22.61801678, 12, 10.312423124231243, 7522136
1774, 113.8604257, 22.79841952, 5, 3.867158671586716, 1774125
552, 114.2860963, 22.71315916, 8, 6.445264452644526, 5870950
877, 113.8744093, 22.58226338, 5, 3.867158671586716, 3564432
1172, 114.146039, 22.55984134, 2, 1.2890528905289054, 1091304
518, 114.0959054, 22.56484784, 5, 3.867158671586716, 3575124
1634, 113.9144593, 22.58669471, 2, 1.2890528905289054, 999192
1952, 113.9218083, 22.51883796, 5, 3.867158671586716, 3977532
866, 114.1298599, 22.57173101, 3, 2.5781057810578107, 2357856
1739, 114.0069626, 22.53846962, 2, 1.2890528905289054, 656550
432, 114.0069626, 22.53846962, 5, 3.867158671586716, 1969650
1618, 113.977303, 22.72436538, 12, 10.312423124231243, 8397760
85, 114.2482186, 22.597762, 2, 1.2890528905289054, 640338
678, 113.9874438, 22.5398186, 11, 9.023370233702337, 5013820
