residences-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
1407, 113.8895501, 22.58777326, 1283040, 25920, 1
924, 113.9042899, 22.5665363, 1806579, 36496.54, 1
1071, 114.0037582, 22.53790479, 2157300, 43146, 1
159, 114.1207023, 22.53944976, 967680, 19353.6, 1
82, 113.8505256, 22.57003332, 1957527, 39546, 1
95, 114.0232271, 22.62488194, 2443500, 48870, 1
683, 113.8485196, 22.57678478, 2166750, 43335, 1
1475, 114.1000347, 22.56966506, 1417500, 28350, 1
1092, 114.0426604, 22.54373309, 1329485, 26589.7, 1
757, 113.8877436, 22.78404007, 915609, 18684, 1
473, 114.1083642, 22.57636406, 1296672, 26460, 1
1153, 114.1122834, 22.58925196, 1037444, 21384, 1
1478, 114.139642, 22.6239425, 996300, 19926, 1
1338, 114.1055162, 22.59685098, 876744, 17712, 1
992, 114.2642481, 22.59164177, 812700, 16254, 1
1070, 113.863216, 22.57078846, 1974117, 40284, 1
1182, 114.2313093, 22.73291925, 935550, 18900, 1
873, 114.0392505, 22.52462702, 1839600, 36792, 1
642, 114.1218045, 22.57112173, 2212234, 44244.68, 1
141, 114.1182255, 22.67187027, 943110, 18862.2, 1
1041, 114.1064566, 22.63242428, 1250100, 25002, 1
243, 114.1073572, 22.57132398, 1395975, 27919.5, 1
1032, 114.0537992, 22.56772541, 1665900, 33318, 1
385, 114.029352, 22.64951895, 1817640, 36720, 1
28, 114.0358301, 22.70436869, 1517127, 30649.04, 1
1416, 113.871775, 22.58555053, 1194831, 26650.302427641604, 1
231, 114.3697374, 22.74835856, 561330, 11340, 1
623, 114.0476951, 22.56807825, 1648626, 33642, 1
1259, 114.1762942, 22.56757336, 1737450, 35100, 1
162, 114.331894, 22.68824122, 930150, 18603, 1
1351, 113.891709, 22.56091576, 1363230, 27540, 1
1447, 114.0770368, 22.54507433, 957335, 19340.1, 1
1195, 114.1287615, 22.70342021, 837000, 16740, 1
1466, 114.0764413, 22.57903287, 1674000, 33480, 1
831, 113.9151904, 22.53465889, 1512000, 30240, 1
99, 114.1227546, 22.56353637, 2167018, 44667, 1
359, 113.9046918, 22.5834555, 1132650, 22653, 1
1485, 114.2269201, 22.54645949, 887056, 18101.34, 1
395, 114.2229894, 22.70499103, 981000, 19620, 1
1237, 114.1033987, 22.61835075, 809203, 16184.06, 1
64, 114.0320802, 22.60541612, 1861029, 41094.52786196986, 1
768, 113.9258192, 22.51841222, 2234628, 45144, 1
186, 114.016779, 22.52876707, 1910250, 38205, 1
1074, 114.1332911, 22.5477813, 1312200, 26244, 1
1231, 113.9212985, 22.52115787, 1879476, 37589.52, 1
259, 114.0614564, 22.56609884, 2012850, 40257, 1
1081, 114.0759798, 22.55625124, 2117151, 42343.02, 1
1398, 114.0659307, 22.53026702, 1962410, 39644.64, 1
1110, 114.1717473, 22.56436374, 1526431, 30528.62, 1
1457, 113.9609462, 22.53262882, 2983500, 59670, 1
767, 114.0523451, 22.63970515, 2079000, 41580, 1
522, 114.3350117, 22.70546672, 1133100, 25020.679162118406, 0
984, 113.8143158, 22.67555369, 1015740, 20520, 1
1072, 114.0378593, 22.62944098, 1215000, 24300, 1
1443, 114.060083, 22.54415109, 1678536, 33570.72, 1
1369, 114.0358903, 22.56212174, 2114100, 42282, 1
652, 114.2270139, 22.54952917, 1284300, 25686, 1
294, 114.034427, 22.52841219, 1721250, 34425, 1
1197, 113.9263495, 22.49164243, 1749060, 38622.071392899845, 1
290, 114.1281226, 22.54491842, 1415807, 28891.08, 1
1389, 114.0798873, 22.54725817, 2041361, 41239.62, 1
258, 114.2469667, 22.71532731, 1098603, 22194, 1
805, 114.0021078, 22.55103737, 3773710, 68152.39546884966, 2
1488, 114.0789495, 22.55088775, 1652743, 33388.74, 1
1437, 113.9233633, 22.54558424, 2779920, 62005.17790771201, 1
1029, 114.0972235, 22.62774315, 1498500, 29970, 1
