OFFs-ID,x-coordinate,y-coordinate,OFF-price,capacity
151, 116.476532816, 40.0890843555, 12000, 0
222, 116.802767517, 40.430459056, 11000, 3
410, 116.176590945, 40.0790389836, 14400, 12
425, 116.567867221, 40.2899189035, 9000, 2
300, 116.607014521, 40.0288051115, 12000, 4
174, 116.293923268, 40.3401133727, 13000, 3
200, 116.215695511, 39.9584555266, 19392.40692163427, 8
207, 116.293923268, 40.2598004466, 12810.271426852934, 5
34, 116.241768785, 40.1493479364, 14000, 3
117, 115.838020432, 40.0489001184, 13431.4761301384, 5
104, 116.215695511, 40.0991292923, 15834.510099943649, 7
11, 116.515674298, 40.0388528672, 30000, -243
317, 116.320004201, 39.6867820062, 13917.71311350013, 2
16, 116.633113705, 40.1995577873, 12930.098851076344, 2
66, 116.333045531, 39.7069273837, 12921.639306548204, 5
434, 116.25480644, 39.737138262, 12362.290893183479, 8
497, 116.059320072, 39.6767078381, 11924.122935972538, 2
119, 116.515674298, 39.7572742176, 12000, 3
276, 116.920215793, 40.0689931627, 12000, 5
204, 116.320004201, 39.9282967469, 4444, 4
334, 116.320004201, 39.5658226211, 12298.766101043104, 9
121, 116.280883699, 39.9484032343, 3857, 1
64, 116.280883699, 39.6565564739, 8352.348697974428, 16
284, 116.45044028, 40.4706130605, 11928.463037495381, 3
180, 116.293923268, 39.8377834084, 16000, 2
212, 115.877050395, 39.8880757723, 14000, 3
90, 115.994200755, 39.857902604, 14000, 5
412, 116.150524999, 39.8880757723, 13812.045299256539, 6
218, 116.4373946, 39.8377834084, 24681.44483844537, 5
322, 116.26784475, 40.1292616312, 12000, 5
280, 116.607014521, 40.3501519477, 9542.011713283755, 5
225, 116.280883699, 40.2196396545, 13918.730799735049, 5
275, 116.241768785, 39.8880757723, 15421.41332059984, 9
214, 116.554818584, 39.7572742176, 13504.203082434686, 6
91, 116.685313813, 40.2095988551, 12656.645588802068, 7
7, 116.098402761, 40.3501519477, 5049.446092060629, 6
194, 116.502626803, 39.8981320507, 30000, 0
471, 116.528722105, 39.7774065989, 14000, 5
78, 116.033269485, 39.9484032343, 14000, 5
17, 116.776666722, 40.5609663578, 12000, 2
6, 116.085374314, 40.4706130605, 7200, 17
352, 116.515674298, 40.1995577873, 11930.633088256802, 2
13, 116.033269485, 40.0087080307, 14000, 4
97, 116.476532816, 40.0489001184, 29946.855278762374, 5
141, 116.333045531, 40.5609663578, 5950.656136974244, 4
442, 116.150524999, 40.1091738079, 20000, 2
128, 116.528722105, 39.9383503123, 20000, 0
361, 116.424349335, 39.857902604, 16000, 5
249, 116.020245604, 39.6565564739, 12000, 0
333, 116.724464877, 40.2497605816, 10811.667369573877, 8
22, 115.799001322, 39.737138262, 12470.322110520376, 8
397, 115.955141021, 39.64647925, 12856.412095765312, 3
52, 115.955141021, 39.9785582781, 15000, 2
377, 116.137493207, 39.6867820062, 12000, 0
72, 115.942123188, 39.716998621, 13000, 2
304, 115.994200755, 40.4505359281, 7945.735332120157, 5
267, 116.424349335, 40.0689931627, 14000, 0
346, 116.26784475, 39.64647925, 12937.151516050963, 3
4, 116.463486358, 39.7774065989, 12855.49592550294, 2
18, 116.176590945, 39.6968551834, 12735.023436694133, 8
307, 116.372172763, 39.9282967469, 30000, -53
474, 116.372172763, 39.8880757723, 35000, -32
371, 116.411304501, 39.9383503123, 30000, 3
60, 116.854968166, 40.2999580562, 9473.394950929105, 2
45, 115.591101869, 39.857902604, 15553.400849531183, 2
246, 116.26784475, 40.1192179163, 3188, -52
227, 116.150524999, 40.3903056481, 8774.22184455045, 5
164, 116.215695511, 40.0288051115, 22000, 5
101, 116.633113705, 40.6412949026, 12000, 2
193, 116.359129829, 39.9986586779, 20000, 2
3, 116.306963441, 39.8176610831, 11684.769626038951, 16
191, 116.959361845, 40.2698401126, 9918.69467975933, 5
85, 115.772994841, 39.5456471663, 12000, 2
133, 116.854968166, 40.3903056481, 10865.741828094917, 2
68, 116.098402761, 40.0991292923, 20000, 0
199, 116.4373946, 39.918242524, 30000, 0
477, 116.724464877, 40.1593905544, 11930.633088256802, 2
46, 116.64616354, 40.0589468789, 13000, 0
290, 116.059320072, 39.7270689091, 12000, 4
340, 116.385216198, 40.0388528672, 20000, 5
450, 116.4373946, 39.64647925, 14000, 3
253, 116.163557584, 40.2296801995, 13332.598033434497, 8
112, 116.111432071, 39.7270689091, 11572.984888474473, 8
150, 116.607014521, 39.8880757723, 13000, 0
198, 116.241768785, 39.6061597513, 13000, 2
77, 117.076783378, 40.5208077598, 10515.365796629909, 7
2, 116.306963441, 39.857902604, 21775.86468838563, 7
426, 116.424349335, 39.5759086053, 14000, 3
111, 116.580916101, 40.3903056481, 12000, 2
14, 116.64616354, 39.857902604, 13000, -514
116, 115.695006953, 39.7673408481, 13000, 2
155, 116.685313813, 40.3802672852, 8000, 2
336, 116.45044028, 40.2196396545, 13000, 4
306, 115.825012834, 40.5408866786, 5777.335538437138, 13
124, 116.45044028, 39.9484032343, 25000, 2
93, 116.385216198, 39.8478433905, 15942.019116855861, 4
143, 116.333045531, 40.1895164372, 12721.930429494818, 7
310, 116.398260116, 39.7774065989, 14000, 0
36, 116.241768785, 39.9584555266, 21921.82725955688, 2
189, 116.907166643, 40.4003439928, 9659.540880354642, 5
39, 116.033269485, 39.7673408481, 12729.178645244914, 7
491, 116.854968166, 40.1895164372, 12000, 2
339, 116.463486358, 40.0689931627, 20000, 3
400, 116.4373946, 40.1493479364, 13000, 4
457, 116.385216198, 39.8176610831, 16000, 2
61, 116.150524999, 39.9986586779, 12946.511614167244, 8
329, 116.241768785, 40.2598004466, 13000, 5
145, 116.228731803, 39.9081876299, 14775.474504391486, 5
83, 116.280883699, 39.9383503123, 15508.476472624121, 6
446, 116.554818584, 40.0689931627, 11506.713232105007, 7
402, 116.280883699, 39.8277226439, 19129.16514762968, 8
220, 116.672263611, 39.8880757723, 11719.527197922902, 8
260, 116.985457875, 40.430459056, 12000, 5
321, 116.26784475, 40.0388528672, 15947.805918886317, 4
126, 115.708001547, 39.5960771565, 13000, 2
154, 116.64616354, 39.7673408481, 12730.972536569487, 5
488, 116.280883699, 39.8679610629, 20000, 3
33, 116.385216198, 40.0589468789, 14000, 2
283, 116.241768785, 40.1192179163, 13000, 4
263, 116.920215793, 39.7874714839, 12000, 2
456, 116.541770206, 40.0790389836, 12925.397074426597, 2
295, 116.150524999, 40.0689931627, 21876.865214502082, 7
115, 116.489579637, 39.5859934457, 14000, 0
272, 116.4373946, 39.9785582781, 20000, 4
458, 116.293923268, 39.8277226439, 20000, 4
