RID,Attractiveness
1355,0
841,0
1513,0
1205,0
230,0
669,0
1119,0
1545,0
470,0
373,0
1393,0
568,0
395,0
479,0
621,0
157,0
126,0
718,0
1730,0
689,0
211,0
215,0
1963,0
860,0
1556,0
171,0
249,0
1301,0
135,0
409,0
573,0
1285,0
332,0
1256,0
785,0
1634,0
1254,0
707,0
536,0
1341,0
179,0
968,0
196,0
122,0
1253,0
275,0
1676,0
678,0
1140,0
1849,0
699,0
441,0
184,0
759,0
1149,0
253,0
1438,0
638,0
317,0
131,0
300,0
1728,0
748,0
118,0
19,0
975,0
594,0
1104,0
883,0
1309,0
1377,0
1923,0
1655,0
608,0
1288,0
1362,0
1696,0
1395,0
1207,0
1418,0
474,0
1694,0
1549,0
266,0
1048,0
1096,0
60,0
775,0
1780,0
1846,0
1918,0
1061,0
1857,0
498,0
517,0
724,0
1478,0
1907,0
1016,0
598,0
1127,0
172,0
1375,0
587,0
941,0
1595,0
850,0
9,0
827,0
1228,0
614,0
1726,0
745,0
219,0
449,0
1431,0
112,0
1212,0
533,0
443,0
811,0
350,0
16,0
70,0
604,0
127,0
1483,0
1346,0
458,0
82,0
499,0
1099,0
422,0
1078,0
996,0
496,0
206,0
1875,0
1161,0
636,0
1909,0
469,0
1174,0
957,0
1772,0
97,0
1260,0
1835,0
844,0
1327,0
518,0
779,0
531,0
555,0
399,0
618,0
879,0
1578,0
1238,0
926,0
935,0
292,0
741,0
1091,0
1244,0
1729,-0.38089570719718785
1251,0
1659,0
1943,0
721,0
664,0
333,0
965,0
1916,0
1953,0
1685,0
1134,0
262,0
1183,0
40,0
1878,0
0,0
1391,0
1866,0
655,0
1148,0
1945,0
877,0
1040,0
1307,0
430,0
239,0
1008,0
1972,0
716,0
505,0
1937,0
244,0
1103,0
186,0
1083,0
997,0
1663,0
1177,0
1889,0
1370,0
6,0
1874,0
572,0
221,0
1697,0
1387,0
267,0
1162,0
1263,0
612,0
691,0
307,0
1419,0
1227,0
279,0
1858,0
1975,0
204,0
575,0
601,0
247,0
647,0
1803,0
958,0
607,0
1819,0
932,0
709,0
717,0
1131,0
1425,0
576,0
1414,0
160,0
334,0
412,0
1632,0
222,0
852,0
294,0
888,0
1872,0
646,0
747,0
1886,0
30,0
1883,0
954,0
539,0
711,0
581,0
459,0
456,0
563,-0.4474635396748416
354,0
948,0
683,0
1559,0
622,0
806,0
714,0
1372,0
177,0
936,0
551,0
1181,0
776,0
1776,0
1856,0
1039,0
1070,0
764,0
11,0
457,0
695,0
815,0
557,0
633,0
106,0
1388,0
1348,0
917,0
391,0
319,0
435,0
694,0
440,0
52,0
290,0
641,0
418,0
1881,0
1560,0
1742,0
925,0
643,0
1386,0
128,0
1744,0
1590,0
420,0
281,0
366,0
1638,0
816,0
1246,0
1314,-7.295419356256175
362,0
1738,0
832,0
1001,0
1179,0
125,0
761,0
494,0
982,0
1422,0
114,0
613,0
1699,0
28,0
1982,0
423,0
802,0
688,0
562,0
1791,0
1085,0
731,0
1102,0
1313,0
345,0
1409,0
1296,0
1012,0
280,0
489,0
648,0
963,0
1541,0
36,0
1280,0
1274,0
148,0
98,0
845,0
426,0
478,0
44,0
760,0
1059,0
1833,0
1118,0
1651,0
306,0
737,0
349,0
392,0
1306,0
1565,0
1684,0
1371,0
1054,0
900,0
1630,0
1172,0
610,0
100,0
1600,0
1534,0
593,0
493,0
1516,0
1340,0
213,0
3,0
1406,0
34,0
1562,0
1691,0
501,0
830,0
945,0
1746,0
1223,0
51,0
116,0
1830,0
908,0
1188,0
1323,0
814,0
342,0
739,0
848,0
849,0
107,0
840,0
962,0
388,0
1934,0
87,0
1585,0
286,0
611,0
1815,0
1648,-0.5590048486157924
961,0
1489,0
1932,0
208,0
1427,0
1006,0
1018,0
1167,0
381,0
698,0
282,0
194,0
320,0
549,0
606,0
639,0
1500,0
140,0
656,0
859,0
1139,0
355,0
258,0
370,0
1446,0
1890,0
1225,0
2,0
866,0
1870,0
45,0
1269,0
783,0
265,0
929,0
375,0
595,0
1067,0
893,0
1320,0
330,0
1552,0
671,0
1880,0
261,0
722,0
386,0
1267,0
574,0
59,0
1156,0
552,0
495,0
404,0
1860,0
1652,0
1706,0
1082,0
746,0
393,0
207,0
1076,0
195,0
819,0
1577,0
600,0
1466,0
653,0
1750,0
847,0
289,0
243,0
188,0
1711,0
520,0
1547,0
1867,0
465,0
1495,0
460,0
692,0
117,0
1218,0
763,0
986,0
427,0
263,0
1817,0
1357,0
766,0
1935,0
1384,0
1153,0
702,0
94,0
681,0
829,0
1654,0
398,0
1969,0
1154,0
623,0
136,0
1380,0
487,0
72,0
21,0
609,0
1575,0
89,0
199,0
287,0
484,0
928,0
1496,0
1712,0
993,0
733,0
1051,0
1616,0
1895,0
1906,0
434,0
1462,0
385,0
1374,0
791,0
1839,0
911,0
723,0
1381,0
799,0
472,0
463,0
1,0
241,0
1268,0
446,0
1200,0
1501,0
504,0
8,0
182,0
1130,0
1237,0
673,-2.929234292864825
1275,0
397,0
1927,0
302,0
308,0
1451,0
200,0
35,0
837,0
1147,0
143,2.0203454662489904
1210,0
310,0
603,0
571,0
753,0
596,0
5,0
12,0
663,0
1896,0
927,0
10,0
582,0
337,0
1674,0
506,0
674,0
1757,0
252,0
156,0
989,0
1115,0
1354,0
67,0
507,0
740,0
205,0
480,0
37,0
825,0
881,0
1561,0
233,0
684,0
1029,0
700,0
166,0
999,0
899,0
130,0
1840,0
772,0
792,0
833,0
1983,0
1470,0
1121,0
1544,0
1915,0
180,0
53,0
701,0
1283,0
285,0
1168,0
1864,0
726,0
1876,0
896,0
1687,0
152,0
1305,0
75,0
1298,0
1597,0
545,0
1247,0
14,0
1249,0
804,0
76,0
755,0
1011,0
650,0
1899,0
1854,0
1588,0
1175,0
1958,0
1637,0
1782,0
1452,0
79,0
1420,0
542,0
561,0
1112,0
445,0
1662,0
1292,0
1213,0
161,0
1014,0
402,0
1214,0
327,0
236,0
1853,-0.8338772490481018
1563,0
68,0
1114,0
103,0
951,0
1392,0
822,0
1914,0
1530,0
670,0
1297,0
482,0
1704,0
525,0
939,0
632,0
1046,0
556,0
854,0
1861,0
102,0
1834,0
1618,0
431,0
1865,0
304,0
1017,-0.31641814273042806
242,0
1942,0
1272,0
1741,0
231,0
897,0
1097,0
1960,0
150,0
666,0
532,0
644,0
1464,0
823,0
328,0
268,0
383,0
464,0
1204,0
1974,0
1965,0
147,0
165,0
1490,0
503,0
1191,0
979,0
