RFs-ID,x-coordinate,y-coordinate,House-price,House-rent,capacity
713, 116.3330455, 39.67670784, 30084, 426, 1
236, 116.6461635, 40.13930497, 39856, 586, 12
1150, 116.6592135, 40.10917381, 37806, 546, 19
568, 116.1244622, 39.89813205, 27650, 406, 18
178, 116.5678672, 40.21963965, 54400, 762, -9
392, 116.4504403, 39.93835031, 96670, 1366, 12
705, 116.7636163, 40.42042068, 13904, 199, 0
1572, 116.6853138, 39.91824252, 39662, 584, 8
832, 116.5809161, 39.89813205, 59281, 830, 2
924, 116.4113045, 39.83778341, 83861, 1173, -10
1183, 116.5678672, 39.88807577, 49258, 696, 6
375, 116.1765909, 39.92829675, 48063, 672, 30
1648, 116.3460874, 39.68678201, 27944, 399, 1
1525, 116.620064, 40.36019045, 35773, 516, 8
204, 116.2156955, 39.73713826, 46900, 676, 2
1049, 116.2939233, 40.18951644, 54699, 774, 32
776, 116.5678672, 39.99865868, 124065, 1754, 1
435, 116.1374932, 39.72706891, 25889, 376, 3
733, 116.3200042, 39.94840323, 101230, 1416, 0
282, 116.3200042, 39.88807577, 132367, 1852, 1
1643, 116.150525, 40.17947479, 39046, 568, 5
142, 116.5678672, 40.14934794, 27636, 403, 22
572, 116.3852162, 40.05894688, 62119, 870, 21
1498, 116.1244622, 40.12926163, 58483, 818, -1
374, 116.1765909, 39.98860877, 172794, 2419, -6
1636, 116.3200042, 39.98860877, 175030, 2450, 0
1145, 115.9942008, 39.58599345, 14148, 204, 0
1212, 116.2417688, 40.2397205, 41908, 610, 14
894, 116.4373946, 39.79753552, 48583, 679, -41
269, 116.6722636, 39.84784339, 51814, 724, -9
656, 116.6461635, 40.08908436, 19983, 294, 41
1274, 116.150525, 39.61624124, 15948, 235, 20
370, 116.4634864, 39.68678201, 26185, 374, 10
63, 116.4504403, 39.88807577, 68897, 965, 12
1043, 117.063738, 40.29995806, 53531, 750, -6
1744, 116.5287221, 39.80759871, 25053, 364, 3
949, 116.150525, 39.87801878, 40053, 589, 19
1867, 116.4113045, 40.03885287, 51784, 739, 12
686, 116.5287221, 39.73713826, 45354, 634, -2
383, 116.4113045, 39.95845553, 118832, 1663, 66
577, 116.150525, 39.78747148, 43445, 639, 14
1534, 116.2417688, 40.14934794, 55015, 786, 11
679, 116.3330455, 39.89813205, 145661, 2039, -2
1918, 116.3200042, 39.84784339, 62840, 897, 12
1432, 116.4634864, 39.70692738, 120149, 1682, -9
1825, 116.8419182, 39.84784339, 26650, 373, -5
448, 116.6070145, 40.2296802, 28827, 424, 10
1302, 116.1635576, 40.10917381, 52151, 729, -6
1254, 116.3591298, 40.06899316, 64543, 912, 5
1728, 116.1765909, 40.05894688, 78218, 1095, 7
652, 116.6983641, 39.84784339, 40488, 578, 18
273, 115.8640392, 40.11921792, 18496, 264, 27
1258, 116.5156743, 39.9685072, 127612, 1786, 11
1446, 116.0984028, 40.10917381, 58483, 818, 7
993, 116.5678672, 39.84784339, 75462, 1056, 10
69, 116.2287318, 40.54088668, 21004, 300, 23
416, 116.868018, 39.78747148, 25600, 373, 1
1241, 116.4895796, 39.97855828, 60464, 846, 12
1550, 116.5548186, 39.90818763, 35505, 512, 19
1748, 116.4504403, 39.87801878, 73019, 1022, -43
699, 116.2939233, 40.07903898, 69343, 970, 13
171, 116.3460874, 39.82772264, 59562, 842, 25
1349, 116.5156743, 39.7774066, 47358, 663, -1
969, 116.4373946, 39.87801878, 131998, 1848, 47
1065, 116.7114145, 40.29995806, 25689, 378, 7
623, 116.5026268, 39.80759871, 54736, 782, 9
1581, 116.7244649, 39.84784339, 41310, 578, -16
56, 116.4634864, 39.78747148, 62317, 872, -4
1305, 116.0072227, 39.88807577, 42917, 625, 19
478, 116.5939652, 39.79753552, 39666, 560, 5
970, 116.4895796, 39.70692738, 120149, 1682, 0
314, 116.1374932, 40.2296802, 36163, 522, 21
1786, 116.2287318, 39.86796106, 56675, 793, -2
659, 116.7114145, 39.89813205, 62564, 876, 19
24, 116.4113045, 39.92829675, 137882, 1930, 0
1545, 116.2156955, 40.18951644, 31026, 439, 3
1519, 116.6722636, 40.11921792, 40431, 577, 1
1365, 116.2548064, 39.75727422, 40699, 592, 11
413, 116.3721728, 39.73713826, 46210, 667, 14
904, 116.4895796, 40.03885287, 145226, 2032, 0
1866, 116.5156743, 39.69685518, 27194, 400, 12
552, 116.4634864, 39.81766108, 66376, 928, 6
31, 117.2202502, 40.63125283, 42618, 614, 5
553, 116.4373946, 39.8579026, 100440, 1406, -5
1386, 116.5156743, 40.34011337, 22231, 314, 17
802, 116.6853138, 39.75727422, 30665, 429, 17
872, 116.0202456, 39.60615975, 15257, 213, 0
809, 117.0898283, 40.13930497, 25318, 364, 9
212, 116.0332695, 39.58599345, 20863, 301, 6
23, 116.8419182, 39.78747148, 26650, 373, -4
849, 116.4243493, 39.69685518, 25923, 374, 7
935, 116.5809161, 39.84784339, 74707, 1056, 0
644, 116.0853743, 39.90818763, 52727, 768, 25
1588, 116.150525, 39.69685518, 50390, 741, 5
1218, 116.6592135, 40.09912929, 38771, 559, 2
1839, 116.4634864, 40.12926163, 76898, 1087, 11
326, 116.3460874, 40.04890012, 130602, 1828, 0
868, 116.4243493, 39.89813205, 135804, 1901, 56
1990, 116.3982601, 40.08908436, 40856, 601, 24
1466, 116.4765328, 39.81766108, 41346, 596, 9
1530, 116.3982601, 40.15939055, 58520, 819, 15
1341, 116.3460874, 39.75727422, 36318, 535, 14
1021, 116.828868, 40.37022889, 32599, 456, -21
81, 116.5548186, 39.87801878, 48494, 679, -5
1800, 116.5809161, 39.87801878, 48032, 672, 4
711, 116.6331137, 40.33007471, 36291, 529, 23
760, 116.0984028, 39.88807577, 36244, 507, 6
268, 116.7114145, 40.17947479, 33767, 487, 23
1105, 116.7114145, 39.9685072, 93660, 1311, 2
1574, 116.5548186, 39.75727422, 34968, 489, -10
1026, 116.4504403, 39.55573548, 35079, 516, 8
751, 115.9942008, 40.2899189, 14099, 204, 0
1186, 116.4634864, 39.97855828, 90779, 1270, 0
1698, 116.1374932, 39.8579026, 42118, 589, -1
836, 116.5156743, 39.95845553, 77630, 1087, 0
1621, 116.1244622, 40.06899316, 57319, 818, 0
551, 116.3069634, 39.88807577, 73673, 1031, 41
1842, 116.3982601, 40.10917381, 60724, 849, 0
810, 116.3460874, 39.91824252, 184489, 2582, 26
1629, 116.4895796, 40.00870803, 87360, 1222, 9
544, 116.2156955, 39.93835031, 114870, 1608, 0
698, 116.4765328, 39.84784339, 50356, 741, 7
1696, 116.6461635, 39.82772264, 40563, 573, 12
1741, 116.6461635, 39.89813205, 42022, 612, 10
1382, 116.8419182, 40.25980045, 13512, 190, 0
635, 116.8158178, 40.13930497, 28345, 409, 18
1346, 116.5548186, 40.07903898, 25364, 362, 16
990, 116.5417702, 39.80759871, 13696, 195, 0
1089, 116.3069634, 39.94840323, 127309, 1782, 2
11, 116.3069634, 40.35015195, 20586, 300, 14
815, 116.2026599, 39.98860877, 77834, 1089, 14
1066, 116.3330455, 39.84784339, 63596, 890, 22
1565, 116.0984028, 40.48065176, 23930, 338, 4
848, 116.6592135, 39.75727422, 30358, 429, 11
1319, 116.7114145, 39.76734085, 30665, 429, 9
1011, 116.3721728, 39.92829675, 171435, 2400, 3
1692, 116.1765909, 40.32003595, 59591, 834, -14
1002, 116.3200042, 40.08908436, 54462, 762, -5
1563, 116.5939652, 39.80759871, 80605, 1128, 0
1100, 116.2939233, 39.62632165, 35642, 514, 12
1095, 116.6461635, 39.87801878, 42797, 630, 19
474, 116.7375153, 39.8579026, 37118, 530, 15
825, 116.620064, 40.04890012, 19494, 272, 18
200, 116.7897171, 39.61624124, 21971, 320, 38
395, 116.2417688, 39.87801878, 56977, 805, 17
50, 116.5156743, 39.92829675, 103364, 1461, 2
67, 116.3852162, 39.8579026, 79559, 1113, 39
404, 116.5287221, 39.92829675, 76772, 1075, 3
1013, 116.3330455, 40.09912929, 66995, 948, 35
126, 116.7897171, 39.79753552, 21117, 301, 18
1289, 116.0984028, 39.89813205, 30781, 430, -2
257, 116.4895796, 39.61624124, 22498, 314, -4
1219, 116.8158178, 40.53084713, 18763, 262, -2
745, 116.3330455, 39.66663267, 29190, 426, 10
1544, 116.2156955, 40.20959886, 32423, 472, 3
1442, 116.3852162, 39.81766108, 54038, 756, -35
1287, 116.1765909, 39.89813205, 37538, 525, -28
