CFBID,Capacity,Long,Lat,CFBRent
0,15,116.4243493,39.81766108,12000
1,45,116.5287221,40.02880511,25000
2,78,116.2417688,39.92829675,18000
3,18,116.1896251,40.02880511,16000
4,15,116.6983641,40.13930497,13000
5,18,116.2678448,40.24976058,14000
6,45,116.4113045,39.69685518,13000
7,27,116.7505658,39.86796106,13000
8,93,116.3982601,39.90818763,20000
9,21,116.7114145,40.39030565,10000
10,15,116.5678672,39.92829675,30000
11,15,115.8770504,40.37022889,9000
12,21,116.9202158,40.13930497,13000
13,66,116.5939652,39.68678201,14000
14,87,116.3591298,40.00870803,18000
15,54,116.5156743,40.16943283,13000
16,36,116.1635576,40.17947479,12000
17,78,116.2026599,39.84784339,22000
18,24,116.5026268,39.91824252,30000
19,24,115.6040848,39.63640098,13000
20,47,116.6853138,39.80759871,13426
21,33,116.0984028,39.68678201,12000
22,78,116.1114321,39.99865868,15000
23,102,116.3200042,39.81766108,18000
24,42,116.2808837,40.11921792,14000
25,42,116.7375153,39.99865868,12000
26,42,116.6331137,39.90818763,13000
28,21,116.3069634,39.66663267,12000
29,51,116.3852162,39.79753552,18000
30,33,116.2417688,40.01875684,22000
31,30,116.2417688,39.73713826,13000
32,30,116.0202456,39.74720669,14000
33,48,116.3982601,40.08908436,14000
34,9,117.2332893,40.15939055,11000
35,12,116.3852162,40.67142315,9000
36,84,116.6853138,40.2296802,12000
37,12,115.9160907,40.18951644,13000
38,33,116.0072227,40.02880511,14000
39,75,116.620064,40.05894688,13000
40,52,116.5156743,40.29995806,8000
41,99,116.4504403,39.88807577,25000
42,81,116.5809161,39.81766108,13000
43,66,116.5678672,39.9685072,25000
44,54,116.4373946,40.03885287,20000
45,39,116.3591298,39.60615975,14000
46,12,116.97241,40.48065176,11000
47,57,116.3069634,39.86796106,16000
48,102,116.3069634,39.9685072,20000
49,96,116.5156743,40.08908436,13000
50,39,116.6070145,40.43045906,8000
51,30,115.9291064,39.74720669,12000
52,42,116.6070145,40.2296802,12000
53,24,116.4765328,40.10917381,12000
54,24,116.5156743,39.92829675,35000
55,15,116.1114321,40.09912929,18000
56,386,116.7375153,40.02880511,12000
57,101,116.8419182,40.12926163,13881
58,21,116.1635576,39.90818763,15000
59,30,116.1374932,39.78747148,18000
60,27,116.0072227,40.2296802,13000
61,54,116.3200042,40.20959886,14000
62,33,116.4373946,40.13930497,14000
63,15,116.5026268,39.90818763,20000
64,63,116.4243493,40.00870803,30000
65,33,116.3200042,39.90818763,20000
66,78,116.5417702,39.86796106,25000
67,27,116.1896251,40.05894688,16000
68,9,116.4765328,40.50072949,10000
69,99,116.620064,40.15939055,14000
70,24,116.6592135,39.9685072,12000
71,15,116.0202456,40.45053593,10000
72,30,116.4113045,40.27987959,14000
73,33,116.620064,39.73713826,13000
74,63,116.7766667,40.2296802,13000
75,30,116.5548186,40.11921792,12000
76,99,116.3460874,40.15939055,14000
77,96,116.7114145,39.89813205,12000
78,30,116.3852162,39.46489682,14000
80,15,116.7897171,39.76734085,13000
81,54,116.4243493,39.92829675,25000
82,96,116.2156955,39.98860877,20000
83,39,116.6461635,39.8579026,12000
84,66,116.2548064,39.83778341,18000
85,18,115.8770504,39.81766108,12000
86,60,116.2678448,40.04890012,16000
87,66,116.3460874,40.06899316,13000
88,51,116.5548186,39.71699862,13000
90,42,116.1374932,40.21963965,13000
91,57,116.5939652,40.13930497,13000
92,48,116.3330455,39.99865868,20000
