HHD,Hhd_income,Hhd_size,Residence,Property
1,108000,1,1461,1
2,108000,1,1125,0
3,108000,1,654,1
4,108000,1,1462,1
5,108000,1,179,1
6,108000,1,551,1
7,108000,1,1456,0
8,108000,1,1289,0
9,108000,1,660,1
10,84000,1,393,0
11,84000,1,58,0
12,84000,1,1456,0
13,84000,1,393,1
14,84000,1,1157,0
15,84000,1,176,0
16,84000,1,255,0
17,84000,1,894,0
18,84000,1,1267,1
19,84000,1,830,1
20,84000,1,150,1
21,84000,1,1396,0
22,108000,1,938,0
23,108000,1,176,1
24,108000,1,508,0
25,108000,1,1824,1
26,108000,1,1456,0
27,108000,1,1215,1
28,108000,1,1462,1
29,108000,1,1215,1
30,108000,1,1818,1
31,108000,1,1456,0
32,108000,1,195,1
33,108000,1,1011,1
34,108000,1,418,0
35,108000,1,675,0
36,108000,1,176,1
37,108000,1,508,0
38,108000,1,393,1
39,108000,1,603,0
40,108000,1,1456,0
41,108000,1,657,1
42,108000,1,497,0
43,108000,1,320,1
44,0,1,1215,0
45,0,1,472,0
46,0,1,1460,0
47,0,1,458,0
48,0,1,1229,0
49,0,1,1115,0
50,0,1,894,0
51,0,1,1794,0
52,0,1,176,0
53,0,1,1289,0
54,0,1,77,0
55,150000,1,1456,0
56,150000,1,930,1
57,150000,1,924,1
58,150000,1,1736,1
59,150000,1,146,1
60,150000,1,1153,1
61,150000,1,1396,0
62,150000,1,1080,1
63,150000,1,527,1
64,150000,1,506,1
65,150000,1,64,1
66,150000,1,818,1
67,150000,1,634,0
68,150000,1,1794,1
69,150000,1,1338,1
70,150000,1,1827,1
71,256025,4,599,1
72,150000,1,507,0
73,150000,1,955,1
74,150000,1,816,1
75,150000,1,1285,0
76,150000,1,499,1
77,150000,1,408,1
78,150000,1,220,1
79,150000,1,1396,0
80,150000,1,1460,1
81,150000,1,64,1
82,150000,1,760,0
83,150000,1,924,1
84,150000,1,1170,0
85,150000,1,389,0
86,150000,1,663,0
87,150000,1,1251,0
88,150000,1,629,0
89,150000,1,499,1
90,150000,1,77,1
91,150000,1,924,1
92,150000,1,499,1
93,150000,1,1134,1
94,150000,1,1607,1
95,150000,1,1697,1
96,150000,1,1115,1
97,150000,1,330,1
98,150000,1,58,1
99,150000,1,263,1
100,150000,1,188,1
101,150000,1,223,0
102,150000,1,1794,1
103,150000,1,548,1
104,150000,1,1794,1
105,150000,1,781,1
106,342000,3,216,1
107,342000,3,216,1
108,360000,3,216,1
109,240782,3,216,1
110,244810,3,58,1
111,324315,3,547,1
112,263440,3,547,1
113,360000,3,1684,1
114,249184,3,1114,1
115,240040,3,1114,1
116,216388,3,163,1
117,360000,3,1827,1
118,360000,3,1827,1
119,360000,3,77,1
120,360000,3,77,1
121,360000,3,77,1
122,360000,3,1156,1
123,291766,3,1156,1
124,242244,3,201,1
125,360000,3,201,1
126,226677,3,359,1
127,360000,3,359,1
128,246232,3,359,1
129,210170,3,675,1
130,277039,3,629,1
131,301326,3,1134,1
132,360000,3,1810,1
133,273804,3,1794,1
134,236779,3,1222,1
135,318993,3,1222,1
136,317905,3,924,1
137,230017,3,924,1
138,256452,3,924,1
139,282570,3,310,1
140,226046,3,310,0
141,303520,3,310,1
142,84000,1,1462,1
143,84000,1,816,0
144,84000,1,386,0
145,84000,1,202,0
146,84000,1,619,0
147,84000,1,1186,0
148,84000,1,482,0
149,84000,1,202,0
150,84000,1,1461,1
151,84000,1,1786,1
152,84000,1,1338,0
153,276000,3,1462,1
154,276000,3,289,1
155,276000,3,935,0
156,276000,3,935,0
157,276000,3,648,1
158,276000,3,648,1
159,276000,3,648,1
160,276000,3,1421,1
161,276000,3,1421,1
162,276000,3,721,0
163,108000,1,1421,0
164,108000,1,499,0
165,108000,1,107,0
166,108000,1,398,0
167,108000,1,1421,0
168,108000,1,77,1
169,108000,1,77,1
170,108000,1,1432,1
171,108000,1,1818,1
172,108000,1,1113,0
173,108000,1,1142,0
174,108000,1,1063,0
175,108000,1,58,0
176,108000,1,849,1
177,108000,1,675,0
178,108000,1,35,1
179,108000,1,1421,0
180,108000,1,894,0
181,108000,1,163,1
182,108000,1,36,1
183,108000,1,1121,1
184,108000,1,1238,0
185,108000,1,860,0
186,108000,1,408,0
187,108000,1,1794,1
188,108000,1,683,0
189,108000,1,58,0
190,108000,1,408,0
191,108000,1,1692,1
192,108000,1,359,1
193,160269,4,599,1
194,171000,4,792,1
195,245981,4,792,1
196,171000,4,1818,1
197,208324,4,1818,1
198,341184,4,1794,1
199,109631,4,1794,1
200,305457,4,650,1
201,171000,4,650,1
202,171000,4,1215,1
203,355743,4,1215,1
204,153034,4,830,1
205,185575,4,830,1
206,171000,4,858,1
207,261252,4,858,1
208,381394,4,973,1
209,194699,4,973,0
210,180354,4,924,1
211,281982,4,924,1
212,201450,4,58,1
213,208728,4,858,1
214,171000,4,506,1
215,184659,4,506,1
216,171000,4,485,1
217,171000,4,485,1
218,171000,4,858,1
219,63000,1,1692,1
220,63000,1,201,0
221,63000,1,838,1
222,63000,1,178,0
223,63000,1,1699,1
224,63000,1,1462,1
225,63000,1,1370,0
226,63000,1,892,0
227,63000,1,534,0
228,63000,1,913,0
229,63000,1,1215,1
230,63000,1,1796,1
231,63000,1,163,1
232,63000,1,1794,1
233,63000,1,734,0
234,63000,1,216,0
235,63000,1,655,0
236,150000,1,163,1
237,150000,1,1153,1
238,150000,1,58,1
239,150000,1,1432,1
240,150000,1,1443,1
241,150000,1,371,1
242,150000,1,150,1
243,150000,1,304,1
244,150000,1,1827,1
245,150000,1,1267,1
246,150000,1,496,1
247,150000,1,1421,1
248,150000,1,1426,1
249,150000,1,683,0
250,150000,1,650,1
251,150000,1,389,0
252,150000,1,417,1
253,150000,1,924,1
254,150000,1,1421,1
255,150000,1,64,1
256,150000,1,1100,0
257,150000,1,1825,1
258,150000,1,781,1
259,150000,1,1421,1
260,186000,2,894,1
261,186000,2,894,1
262,186000,2,894,1
263,186000,2,894,1
264,186000,2,634,0
265,186000,2,634,0
266,186000,2,634,0
267,186000,2,634,0
268,186000,2,216,1
269,186000,2,216,1
270,186000,2,216,1
271,186000,2,216,1
272,186000,2,216,1
273,186000,2,216,1
274,186000,2,1692,1
275,186000,2,1432,1
276,186000,2,547,1
277,186000,2,547,1
278,186000,2,547,1
279,186000,2,499,1
280,186000,2,473,1
281,186000,2,473,1
282,186000,2,604,0
283,186000,2,1396,1
284,186000,2,1396,1
285,186000,2,1396,1
286,186000,2,1396,1
287,186000,2,1396,1
288,186000,2,676,1
289,186000,2,676,1
290,186000,2,676,1
291,186000,2,676,1
292,186000,2,257,1
293,186000,2,257,1
294,186000,2,257,1
295,186000,2,257,1
296,84000,1,499,0
297,84000,1,163,1
298,84000,1,604,0
299,84000,1,1770,1
300,84000,1,385,0
301,84000,1,1698,1
302,84000,1,793,0
303,84000,1,650,0
304,84000,1,873,0
305,0,1,506,0
306,0,1,1460,0
307,0,1,1429,0
308,0,1,441,0
309,0,1,894,0
310,0,1,441,0
311,0,1,58,0
312,0,1,629,0
313,0,1,36,0
314,0,1,253,0
315,0,1,250,0
316,84000,1,535,0
317,84000,1,694,1
318,84000,1,1114,0
319,84000,1,1131,0
320,84000,1,629,0
321,84000,1,1140,0
322,84000,1,894,0
323,84000,1,1432,0
324,0,1,310,0
325,0,1,1421,0
326,0,1,1396,0
327,0,1,894,0
328,0,1,1812,0
329,0,1,150,0
330,0,1,1762,0
331,0,1,648,0
332,0,1,1187,0
333,0,1,500,0
334,0,1,1098,0
335,84000,1,1063,0
336,84000,1,458,0
337,84000,1,58,0
338,84000,1,35,1
339,84000,1,441,0
340,84000,1,310,0
341,84000,1,530,0
342,84000,1,1302,0
343,84000,1,971,0
344,84000,1,1142,0
345,84000,1,629,0
346,108000,1,417,1
347,108000,1,330,1
348,108000,1,474,0
349,108000,1,628,0
350,108000,1,506,1
351,108000,1,1697,1
352,108000,1,1442,1
353,108000,1,1810,1
354,108000,1,473,0
355,480946,1,1460,1
356,480946,1,1794,1
357,480946,1,1770,1
358,480946,1,1396,1
359,150000,1,1699,1
360,150000,1,1153,1
361,150000,1,308,1
362,150000,1,163,1
363,150000,1,1130,0
364,150000,1,64,1
365,150000,1,286,0
366,150000,1,808,0
367,150000,1,425,1
368,150000,1,1115,1
369,150000,1,838,1
370,150000,1,604,0
371,150000,1,686,0
372,150000,1,1794,1
373,150000,1,150,1
374,150000,1,1267,1
375,150000,1,694,1
376,284298,5,1442,1
377,245369,5,876,1
378,84000,5,858,0
379,281826,5,475,1
380,79160,5,660,1
381,117336,5,1098,0
382,84000,5,458,0
383,84000,5,1332,0
384,84000,5,894,0
385,84000,5,971,0
386,298206,5,781,1
387,208572,5,393,1
388,84000,5,818,1
389,210000,1,1442,1
390,210000,1,58,1
391,210000,1,36,1
392,210000,1,482,0
393,210000,1,359,1
394,210000,1,1460,1
395,210000,1,1121,1
396,210000,1,257,1
397,210000,1,1442,1
398,210000,1,1241,1
399,210000,1,220,1
400,108000,1,58,1
401,108000,1,216,1
402,108000,1,1267,1
403,108000,1,1043,0
404,108000,1,163,1
405,108000,1,223,0
406,108000,1,201,1
407,108000,1,729,0
408,108000,1,1267,1
409,108000,1,834,0
410,108000,1,36,1
411,108000,1,290,1
412,108000,1,188,1
413,108000,1,1462,1
414,171000,3,390,0
415,204139,3,506,1
416,398222,3,1432,1
417,319498,3,1432,1
418,350772,3,1432,1
419,171000,3,976,0
420,243934,3,976,0
421,171000,3,878,1
422,171000,3,878,1
423,366211,3,398,1
424,391528,3,398,1
425,244884,3,1131,1
426,247061,3,791,1
427,376711,3,791,1
428,171000,3,791,0
429,293167,3,927,1
430,240141,3,927,1
431,171000,3,1770,1
432,160394,3,1770,1
433,328760,3,980,1
434,171000,3,980,1
435,225106,3,34,1
436,171000,3,34,1
437,346137,3,1797,1
438,171000,3,1796,1
439,171000,3,1826,1
440,171000,3,1312,1
441,250100,3,1312,1
442,274688,3,886,1
443,164400,3,886,1
444,228550,3,886,1
445,229001,3,1429,0
446,171000,3,1445,1
447,281044,3,1153,1
448,264739,3,1153,1
449,349142,3,482,1
450,171000,3,482,0
451,208297,3,362,1
452,349712,3,362,1
453,393057,3,169,1
454,358100,3,573,1
455,171000,3,573,0
456,264870,3,1338,1
457,184677,3,1338,1
458,171000,3,1338,1
459,359801,3,1796,1
460,171000,3,304,1
461,213301,3,304,1
462,264753,3,304,1
463,390834,3,808,1
464,204977,3,1442,1
465,207568,3,1422,1
466,171000,3,816,1
467,171000,3,816,1
468,330953,3,816,1
469,264881,3,858,1
470,171000,3,1142,1
471,362119,3,1142,1
472,316301,3,148,1
473,397738,3,1432,1
474,252590,3,1289,1
475,309823,3,1289,1
476,171000,3,105,1
477,171000,3,310,1
478,351949,3,1040,0
479,352910,3,1040,0
480,171000,3,1332,1
481,171000,3,1361,1
482,171000,3,1697,1
483,175610,3,1697,1
484,362971,3,1697,1
485,211918,3,1697,1
486,171000,3,873,0
487,322043,3,550,1
488,264463,3,550,1
489,171000,3,1077,0
490,171000,3,1077,0
491,323623,3,858,1
492,344145,3,858,1
493,171000,3,859,1
494,171000,3,859,1
495,259074,3,320,1
496,296128,3,620,1
497,206774,3,620,1
498,346042,3,620,1
499,337777,3,620,1
500,399805,3,1170,1
501,299017,3,570,1
502,344982,3,570,1
503,354873,3,1445,1
504,388204,3,1445,1
505,171000,3,1445,1
506,171000,3,8,1
507,171000,3,1097,0
508,188166,3,1097,1
509,211154,3,943,0
510,171000,3,943,0
511,345752,3,379,1
512,293231,3,379,1
513,171000,3,1460,1
