HHD,PID,Gender,Age,Income,Hhd_income,License,Status,Education,Edu_year,Edu_durati,Hhd_size,WS,ID,Rela,Property,Residence,LiveLong,LiveLat,WELong,WELat,Max_Fri,Min_Fri
1,1,1,31,9000,108000,1,2,7,0,0,1,Firms,0,1,1,1461,116.3982601,39.82772264,116.5548186,40.02880511,2,1
2,2,1,27,9000,108000,1,2,7,0,0,1,Firms,1,1,0,1125,116.5156743,39.86796106,116.3852162,39.84784339,19,8
3,3,1,29,9000,108000,1,2,7,0,0,1,Firms,2,1,1,654,116.6983641,39.97855828,116.2156955,40.14934794,8,2
4,4,1,25,9000,108000,1,2,7,0,0,1,Firms,3,1,1,1462,116.5417702,39.92829675,116.6331137,39.9685072,8,2
5,5,1,31,9000,108000,1,2,7,0,0,1,Firms,4,1,1,179,116.2156955,39.9685072,116.0853743,39.79753552,40,20
6,6,1,29,9000,108000,1,2,7,0,0,1,Firms,5,1,1,551,116.3069634,39.88807577,116.8941173,40.21963965,19,8
7,7,1,31,9000,108000,1,2,7,0,0,1,Firms,6,1,0,1456,116.3069634,39.87801878,116.6331137,39.81766108,2,1
8,8,1,33,9000,108000,1,2,7,0,0,1,Firms,7,1,0,1289,116.0984028,39.89813205,116.4243493,40.06899316,40,20
9,9,1,27,9000,108000,1,2,7,0,0,1,Firms,8,1,1,660,116.5026268,39.95845553,116.2417688,40.49069056,40,20
10,10,1,32,7000,84000,1,2,7,0,0,1,Firms,9,1,0,393,116.2808837,40.18951644,116.2156955,39.99865868,40,20
11,11,1,34,7000,84000,1,2,7,0,0,1,Firms,10,1,0,58,116.6722636,39.99865868,116.3852162,39.58599345,2,1
12,12,1,32,7000,84000,1,2,7,0,0,1,Firms,11,1,0,1456,116.3069634,39.87801878,116.8810677,39.76734085,19,8
13,13,1,27,7000,84000,1,2,7,0,0,1,Firms,12,1,1,393,116.2808837,40.18951644,116.5809161,40.15939055,40,20
14,14,1,28,7000,84000,1,2,7,0,0,1,Firms,13,1,0,1157,116.2678448,40.07903898,116.4504403,39.84784339,19,8
15,15,1,33,7000,84000,1,2,7,0,0,1,Firms,14,1,0,176,116.2939233,40.10917381,115.9681599,39.69685518,40,20
16,16,1,26,7000,84000,1,2,7,0,0,1,Firms,15,1,0,255,115.9811798,39.74720669,116.2808837,39.86796106,40,20
17,17,1,31,7000,84000,1,2,7,0,0,1,Firms,16,1,0,894,116.4373946,39.79753552,116.5026268,39.89813205,40,20
18,18,1,25,7000,84000,1,2,7,0,0,1,Firms,17,1,1,1267,116.2026599,39.9685072,116.7766667,40.56096636,19,8
19,19,1,34,7000,84000,1,2,7,0,0,1,Firms,18,1,1,830,116.6983641,39.86796106,116.4243493,39.8579026,8,2
20,20,1,33,7000,84000,1,2,7,0,0,1,Firms,19,1,1,150,116.6461635,39.74720669,116.0332695,40.43045906,8,2
21,21,1,25,7000,84000,1,2,7,0,0,1,Firms,20,1,0,1396,116.3330455,40.01875684,116.5026268,39.7774066,2,1
22,22,1,18,9000,108000,1,2,6,0,0,1,Firms,21,1,0,938,116.3852162,40.2296802,116.4373946,39.97855828,40,20
23,23,1,20,9000,108000,1,2,6,0,0,1,Firms,22,1,1,176,116.2939233,40.10917381,116.2156955,39.71699862,40,20
24,24,1,19,9000,108000,1,2,6,0,0,1,Firms,23,1,0,508,116.5809161,40.05894688,116.3330455,39.97855828,40,20
25,25,1,24,9000,108000,1,2,6,0,0,1,Firms,24,1,1,1824,116.4243493,39.9685072,117.2332893,40.19955779,2,1
26,26,1,20,9000,108000,1,2,6,0,0,1,Firms,25,1,0,1456,116.3069634,39.87801878,116.7375153,39.89813205,19,8
27,27,1,22,9000,108000,1,2,6,0,0,1,Firms,26,1,1,1215,116.0853743,40.55092642,116.3330455,39.70692738,19,8
28,28,1,21,9000,108000,1,2,6,0,0,1,Firms,27,1,1,1462,116.5417702,39.92829675,116.7114145,40.12926163,19,8
29,29,1,18,9000,108000,1,2,6,0,0,1,Firms,28,1,1,1215,116.0853743,40.55092642,116.5939652,39.70692738,8,2
30,30,1,23,9000,108000,1,2,6,0,0,1,Firms,29,1,1,1818,116.5156743,39.88807577,116.9854579,40.43045906,8,2
31,31,1,18,9000,108000,1,2,6,0,0,1,Firms,30,1,0,1456,116.3069634,39.87801878,116.7897171,39.65655647,19,8
32,32,1,23,9000,108000,1,2,6,0,0,1,Firms,31,1,1,195,116.7114145,39.7774066,115.955141,39.97855828,2,1
33,33,1,20,9000,108000,1,2,6,0,0,1,Firms,32,1,1,1011,116.3721728,39.92829675,116.4634864,39.95845553,40,20
34,34,1,21,9000,108000,1,2,6,0,0,1,Firms,33,1,0,418,116.8158178,40.14934794,116.0853743,39.88807577,40,20
35,35,1,23,9000,108000,1,2,6,0,0,1,Firms,34,1,0,675,116.7897171,39.65655647,116.2287318,39.82772264,8,2
36,36,1,20,9000,108000,1,2,6,0,0,1,Firms,35,1,1,176,116.2939233,40.10917381,115.8900627,39.64647925,40,20
37,37,1,22,9000,108000,1,2,6,0,0,1,Firms,36,1,0,508,116.5809161,40.05894688,116.2678448,40.08908436,2,1
38,38,1,24,9000,108000,1,2,6,0,0,1,Firms,37,1,1,393,116.2808837,40.18951644,116.7244649,40.24976058,19,8
39,39,1,24,9000,108000,1,2,6,0,0,1,Firms,38,1,0,603,116.1635576,39.73713826,116.2548064,39.81766108,19,8
40,40,1,18,9000,108000,1,2,6,0,0,1,Firms,39,1,0,1456,116.3069634,39.87801878,116.5939652,39.91824252,2,1
41,41,1,20,9000,108000,1,2,6,0,0,1,Firms,40,1,1,657,116.3069634,40.14934794,116.2678448,40.12926163,19,8
42,42,1,21,9000,108000,1,2,6,0,0,1,Firms,41,1,0,497,116.1765909,39.61624124,116.2808837,39.94840323,19,8
43,43,1,20,9000,108000,1,2,6,0,0,1,Firms,42,1,1,320,116.3591298,39.94840323,116.1244622,40.18951644,40,20
44,44,0,7,0,0,0,1,2,2,6,1,Schools,1972,1,0,1215,116.0853743,40.55092642,116.4895796,40.06899316,2,1
45,45,0,14,0,0,0,1,3,3,3,1,Schools,2126,1,0,472,116.6331137,39.67670784,116.620064,40.38026729,40,20
46,46,0,5,0,0,0,1,1,3,3,1,Schools,2453,1,0,1460,116.2287318,40.06899316,116.3982601,40.69151049,40,20
47,47,0,5,0,0,0,1,1,3,3,1,Schools,2453,1,0,458,116.5026268,40.19955779,116.3982601,40.69151049,19,8
48,48,0,2,0,0,0,1,0,3,3,1,0,0,1,0,1229,116.828868,39.80759871,0,0,19,8
49,49,0,1,0,0,0,1,0,2,3,1,0,0,1,0,1115,116.8158178,40.10917381,0,0,19,8
50,50,0,11,0,0,0,1,2,6,6,1,Schools,1981,1,0,894,116.4373946,39.79753552,116.3330455,40.03885287,19,8
51,51,0,11,0,0,0,1,2,6,6,1,Schools,1982,1,0,1794,116.0984028,39.94840323,116.2678448,40.01875684,19,8
52,52,0,11,0,0,0,1,2,6,6,1,Schools,1983,1,0,176,116.2939233,40.10917381,116.6070145,39.84784339,8,2
53,53,0,5,0,0,0,1,1,3,3,1,Schools,2453,1,0,1289,116.0984028,39.89813205,116.3982601,40.69151049,8,2
54,54,0,0,0,0,0,1,0,1,3,1,0,0,1,0,77,116.3982601,39.99865868,0,0,2,1
55,55,1,22,12500,150000,1,2,6,0,0,1,Firms,54,1,0,1456,116.3069634,39.87801878,116.7244649,39.81766108,2,1
56,56,1,23,12500,150000,1,2,6,0,0,1,Firms,55,1,1,930,116.5026268,40.03885287,116.3721728,39.92829675,19,8
57,57,1,20,12500,150000,1,2,6,0,0,1,Firms,56,1,1,924,116.4113045,39.83778341,116.5287221,39.70692738,8,2
58,58,1,22,12500,150000,1,2,6,0,0,1,Firms,57,1,1,1736,116.2287318,39.83778341,116.828868,40.33007471,19,8
59,59,1,23,12500,150000,1,2,6,0,0,1,Firms,58,1,1,146,116.8941173,39.80759871,115.4872949,39.72706891,2,1
60,60,1,22,12500,150000,1,2,6,0,0,1,Firms,59,1,1,1153,116.1374932,40.06899316,116.4504403,39.87801878,2,1
61,61,1,19,12500,150000,1,2,6,0,0,1,Firms,60,1,0,1396,116.3330455,40.01875684,116.6592135,39.63640098,19,8
62,62,1,20,12500,150000,1,2,6,0,0,1,Firms,61,1,1,1080,116.150525,39.80759871,116.4373946,40.14934794,2,1
63,63,1,18,12500,150000,1,2,6,0,0,1,Firms,62,1,1,527,116.9985054,40.42042068,116.3460874,39.79753552,40,20
64,64,1,23,12500,150000,1,2,6,0,0,1,Firms,63,1,1,506,116.5548186,40.04890012,116.5156743,40.26984011,19,8
65,65,1,22,12500,150000,1,2,6,0,0,1,Firms,64,1,1,64,116.3982601,39.92829675,115.8380204,40.04890012,40,20
66,66,1,22,12500,150000,1,2,6,0,0,1,Firms,65,1,1,818,116.3852162,39.98860877,116.3069634,40.2296802,19,8
67,67,1,20,12500,150000,1,2,6,0,0,1,Firms,66,1,0,634,116.9071666,40.06899316,116.3330455,39.92829675,40,20
68,68,1,23,12500,150000,1,2,6,0,0,1,Firms,67,1,1,1794,116.0984028,39.94840323,116.7505658,40.03885287,19,8
69,69,1,20,12500,150000,1,2,6,0,0,1,Firms,68,1,1,1338,116.5417702,39.91824252,116.6070145,39.88807577,40,20
70,70,1,19,12500,150000,1,2,6,0,0,1,Firms,69,1,1,1827,116.4113045,40.04890012,117.2724027,40.65133731,2,1
71,71,1,61,3000,256025,1,4,3,0,0,4,0,0,2,0,599,116.7505658,39.79753552,0,0,40,20
71,72,0,49,5250,256025,1,3,5,0,0,4,0,0,11,0,599,116.7505658,39.79753552,0,0,19,8
71,73,0,66,13085,256025,0,2,5,0,0,4,Schools,2462,1,1,599,116.7505658,39.79753552,116.5287221,39.9685072,40,20
71,74,0,10,0,256025,0,1,2,5,6,4,Schools,1969,6,0,599,116.7505658,39.79753552,116.1244622,40.04890012,19,8
72,75,1,30,12500,150000,1,2,7,0,0,1,Firms,70,1,0,507,116.5939652,39.88807577,116.2417688,39.94840323,40,20
73,76,1,25,12500,150000,1,2,7,0,0,1,Firms,71,1,1,955,116.1896251,39.94840323,116.3460874,40.12926163,40,20
74,77,1,31,12500,150000,1,2,7,0,0,1,Firms,72,1,1,816,116.3591298,39.9685072,116.3069634,40.06899316,2,1
75,78,1,27,12500,150000,1,2,7,0,0,1,Firms,73,1,0,1285,116.5939652,39.67670784,116.5548186,40.06899316,2,1
76,79,1,31,12500,150000,1,2,7,0,0,1,Firms,74,1,1,499,116.3852162,39.80759871,116.2808837,39.78747148,2,1
77,80,1,27,12500,150000,1,2,7,0,0,1,Firms,75,1,1,408,116.7244649,39.75727422,116.2417688,40.25980045,8,2
78,81,1,29,12500,150000,1,2,7,0,0,1,Firms,76,1,1,220,115.955141,40.00870803,115.9942008,39.8579026,19,8
79,82,1,25,12500,150000,1,2,7,0,0,1,Firms,77,1,0,1396,116.3330455,40.01875684,116.7114145,39.78747148,19,8
80,83,1,29,12500,150000,1,2,7,0,0,1,Firms,78,1,1,1460,116.2287318,40.06899316,116.5548186,39.94840323,19,8
81,84,1,25,12500,150000,1,2,7,0,0,1,Firms,79,1,1,64,116.3982601,39.92829675,116.0072227,40.07903898,8,2
82,85,1,32,12500,150000,1,2,7,0,0,1,Firms,80,1,0,760,116.0984028,39.88807577,116.4113045,39.80759871,2,1
83,86,1,25,12500,150000,1,2,7,0,0,1,Firms,81,1,1,924,116.4113045,39.83778341,116.3200042,39.92829675,2,1
84,87,1,25,12500,150000,1,2,7,0,0,1,Firms,82,1,0,1170,116.6592135,39.81766108,116.4243493,40.13930497,19,8
85,88,1,29,12500,150000,1,2,7,0,0,1,Firms,83,1,0,389,116.6461635,39.90818763,115.7080015,39.59607716,19,8
86,89,1,34,12500,150000,1,2,7,0,0,1,Firms,84,1,0,663,116.620064,39.82772264,116.3982601,40.01875684,19,8
87,90,1,25,12500,150000,1,2,7,0,0,1,Firms,85,1,0,1251,116.0984028,40.2296802,116.4765328,39.90818763,40,20
88,91,1,25,12500,150000,1,2,7,0,0,1,Firms,86,1,0,629,116.5156743,40.12926163,116.2678448,39.69685518,19,8
89,92,1,33,12500,150000,1,2,7,0,0,1,Firms,87,1,1,499,116.3852162,39.80759871,116.2678448,39.64647925,2,1
90,93,1,25,12500,150000,1,2,7,0,0,1,Firms,88,1,1,77,116.3982601,39.99865868,115.9942008,40.56096636,8,2
91,94,1,29,12500,150000,1,2,7,0,0,1,Firms,89,1,1,924,116.4113045,39.83778341,116.5939652,39.92829675,2,1
92,95,1,29,12500,150000,1,2,7,0,0,1,Firms,90,1,1,499,116.3852162,39.80759871,116.1374932,39.7774066,40,20
93,96,1,30,12500,150000,1,2,7,0,0,1,Firms,91,1,1,1134,116.4634864,40.00870803,116.7636163,40.40034399,40,20
94,97,1,33,12500,150000,1,2,7,0,0,1,Firms,92,1,1,1607,116.6722636,39.87801878,116.8027675,40.20959886,2,1
95,98,1,27,12500,150000,1,2,7,0,0,1,Firms,93,1,1,1697,116.3591298,39.88807577,116.8810677,40.11921792,2,1
96,99,1,25,12500,150000,1,2,7,0,0,1,Firms,94,1,1,1115,116.8158178,40.10917381,116.6722636,40.16943283,40,20
97,100,1,32,12500,150000,1,2,7,0,0,1,Firms,95,1,1,330,116.8027675,40.15939055,116.2808837,39.52546697,19,8
98,101,1,27,12500,150000,1,2,7,0,0,1,Firms,96,1,1,58,116.6722636,39.99865868,116.4765328,39.68678201,2,1
99,102,1,29,12500,150000,1,2,7,0,0,1,Firms,97,1,1,263,116.1635576,39.9685072,116.2156955,40.14934794,19,8
100,103,1,32,12500,150000,1,2,7,0,0,1,Firms,98,1,1,188,116.6070145,39.97855828,116.150525,40.27987959,19,8
101,104,1,26,12500,150000,1,2,7,0,0,1,Firms,99,1,0,223,115.9811798,40.41038233,116.0332695,40.00870803,19,8
102,105,1,27,12500,150000,1,2,7,0,0,1,Firms,100,1,1,1794,116.0984028,39.94840323,117.0245996,40.11921792,2,1
103,106,1,34,12500,150000,1,2,7,0,0,1,Firms,101,1,1,548,116.2548064,40.07903898,116.2156955,40.09912929,19,8
104,107,1,32,12500,150000,1,2,7,0,0,1,Firms,102,1,1,1794,116.0984028,39.94840323,116.9593618,40.26984011,19,8
105,108,1,30,12500,150000,1,2,7,0,0,1,Firms,103,1,1,781,116.4504403,39.89813205,116.4504403,40.47061306,2,1
106,109,1,64,7000,342000,1,4,5,0,0,3,0,0,1,1,216,116.3069634,40.07903898,0,0,40,20
106,110,1,49,9000,342000,1,2,5,0,0,3,Firms,889,11,0,216,116.3069634,40.07903898,116.1765909,39.69685518,40,20
106,111,1,18,12500,342000,1,2,6,0,0,3,Firms,160,6,0,216,116.3069634,40.07903898,116.150525,39.8579026,19,8
107,112,1,59,9000,342000,1,3,5,0,0,3,0,0,11,0,216,116.3069634,40.07903898,0,0,19,8
107,113,1,48,12500,342000,1,2,5,0,0,3,Businessmen,1451,1,1,216,116.3069634,40.07903898,116.0853743,39.82772264,8,2
107,114,1,24,7000,342000,1,2,6,0,0,3,Schools,2463,3,0,216,116.3069634,40.07903898,116.2939233,39.83778341,40,20
108,115,0,50,12500,360000,1,2,6,0,0,3,Firms,599,1,1,216,116.3069634,40.07903898,116.0332695,39.76734085,2,1
108,116,0,36,17500,360000,1,2,6,0,0,3,Firms,696,11,0,216,116.3069634,40.07903898,116.2026599,39.82772264,19,8
108,117,0,9,0,360000,0,1,2,4,6,3,Schools,1992,3,0,216,116.3069634,40.07903898,116.4504403,39.9685072,40,20
109,118,0,53,12500,240782,1,2,6,0,0,3,Firms,431,1,1,216,116.3069634,40.07903898,115.9811798,39.79753552,19,8
109,119,0,42,7565,240782,1,2,6,0,0,3,Schools,1969,11,0,216,116.3069634,40.07903898,116.1244622,40.04890012,40,20
109,120,0,8,0,240782,0,1,2,3,6,3,Schools,1969,6,0,216,116.3069634,40.07903898,116.1244622,40.04890012,2,1
110,121,0,54,12500,244810,1,2,6,0,0,3,Firms,790,1,1,58,116.6722636,39.99865868,116.2156955,39.65655647,2,1
110,122,0,40,7901,244810,1,2,6,0,0,3,Schools,1970,11,0,58,116.6722636,39.99865868,116.0723467,40.03885287,40,20
110,123,0,10,0,244810,0,1,2,5,6,3,Schools,1970,3,0,58,116.6722636,39.99865868,116.0723467,40.03885287,19,8
111,124,0,41,17500,324315,1,2,6,0,0,3,Firms,214,1,1,547,116.6592135,39.80759871,116.3852162,40.03885287,19,8
111,125,0,53,9526,324315,0,2,6,0,0,3,Schools,1971,11,0,547,116.6592135,39.80759871,116.4504403,39.86796106,2,1
111,126,0,21,0,324315,1,1,7,4,4,3,Schools,2270,11,0,547,116.6592135,39.80759871,116.3460874,39.84784339,19,8
112,127,0,50,12500,263440,1,2,6,0,0,3,Firms,143,1,1,547,116.6592135,39.80759871,116.5548186,40.44049747,19,8
112,128,0,36,9453,263440,1,2,6,0,0,3,Schools,1972,11,0,547,116.6592135,39.80759871,116.4895796,40.06899316,40,20
112,129,0,7,0,263440,0,1,2,2,6,3,Schools,1971,3,0,547,116.6592135,39.80759871,116.4504403,39.86796106,2,1
