RID,Long,Lat,Capacity,ResPrice,ResRent
0,116.5548186,39.76734085,42,62794,878
1,116.3069634,39.86796106,28,95747,1340
2,116.6070145,39.89813205,23,47755,668
3,116.1244622,40.04890012,28,30712,429
4,116.3721728,40.07903898,28,70689,989
5,116.1244622,39.79753552,60,44539,624
6,116.4504403,39.69685518,23,26716,374
7,116.6331137,40.35015195,4,35503,496
8,116.3200042,39.66663267,86,35768,501
9,115.9681599,39.69685518,23,23231,325
10,116.5809161,40.07903898,28,40351,565
11,116.3069634,40.35015195,23,21430,300
12,116.4504403,39.94840323,42,126619,1772
13,116.5678672,40.05894688,43,41709,584
14,116.2808837,40.09912929,18,33341,466
15,116.3069634,39.95845553,41,122135,1710
16,116.1896251,39.66663267,27,54090,757
17,116.7505658,40.36019045,6,17708,248
18,116.2417688,40.35015195,22,59591,834
19,116.5678672,39.79753552,56,39031,546
20,116.7897171,40.14934794,28,29212,409
21,116.3200042,39.76734085,27,66001,924
22,116.150525,39.93835031,28,49904,698
23,116.8419182,39.78747148,14,26650,373
24,116.4113045,39.92829675,55,137882,1930
25,116.5287221,40.2296802,18,54400,762
26,116.3591298,39.8579026,14,66436,930
27,116.4895796,40.61116961,23,25843,362
28,115.5911019,39.63640098,6,32831,459
29,116.7375153,39.98860877,4,37021,518
30,116.1114321,40.21963965,21,26144,366
31,117.2202502,40.63125283,16,43922,614
32,116.2156955,39.99865868,23,84694,1185
33,115.9942008,40.47061306,17,27590,386
34,116.4895796,39.87801878,18,103078,1443
35,116.3591298,40.24976058,23,28037,392
36,115.9030762,39.95845553,18,14778,206
37,116.2026599,39.82772264,18,33630,470
38,116.7114145,40.15939055,28,32942,460
39,116.2939233,39.73713826,17,49396,691
40,116.6070145,39.62632165,21,29245,409
41,116.2678448,39.87801878,1,65339,914
42,116.1244622,39.63640098,4,16770,235
43,116.2417688,39.99865868,21,110323,1544
44,116.828868,40.41038233,6,27154,380
45,117.063738,40.10917381,6,30893,432
46,116.0853743,39.71699862,14,23736,332
47,116.4504403,40.10917381,56,48745,682
48,116.9593618,40.09912929,6,22175,310
49,116.0853743,40.42042068,21,24172,338
50,116.5156743,39.92829675,18,104408,1461
51,116.4113045,39.72706891,17,47128,660
52,116.2548064,40.65133731,22,21430,300
53,116.2548064,39.90818763,22,91272,1277
54,115.9811798,40.11921792,14,18872,264
55,116.7766667,40.6412949,22,18763,262
56,116.4634864,39.78747148,14,62317,872
57,116.3460874,39.97855828,18,134321,1880
58,116.6722636,39.99865868,32,57982,811
59,116.0462943,39.66663267,14,16270,228
60,115.6300553,39.89813205,23,15468,216
61,116.1765909,40.09912929,6,52151,729
62,116.6592135,39.88807577,42,54658,765
63,116.4504403,39.88807577,27,68897,965
64,116.3982601,39.92829675,45,242074,3388
65,116.4373946,40.45053593,14,21430,300
66,116.1635576,40.20959886,1,40560,567
67,116.3852162,39.8579026,65,79559,1113
68,116.3069634,40.05894688,18,117652,1647
69,116.2287318,40.54088668,26,21430,300
70,116.150525,39.72706891,28,25652,358
71,116.6853138,39.73713826,18,30665,429
72,116.3330455,39.88807577,76,145927,2042
73,116.4113045,39.53555767,4,36887,516
74,116.4373946,39.92829675,1,98803,1383
75,116.1244622,40.13930497,20,39634,554
76,116.0593201,39.78747148,6,25186,352
77,116.3982601,39.99865868,28,171452,2400
78,116.6070145,40.11921792,59,16684,234
79,116.7244649,39.83778341,14,41310,578
80,116.5548186,39.99865868,31,123116,1723
81,116.5548186,39.87801878,14,48494,679
82,116.3852162,40.18951644,18,63667,891
83,115.5132369,39.76734085,3,15468,216
84,116.3069634,39.71699862,23,40562,567
85,116.2026599,40.10917381,18,85424,1196
86,116.4634864,39.92829675,31,89638,1254
87,116.3200042,39.51537506,18,31934,447
88,116.3982601,39.83778341,18,61242,856
89,116.868018,40.35015195,17,28784,403
90,116.4113045,40.05894688,18,45116,631
91,116.2548064,39.74720669,23,48336,676
92,115.9291064,39.80759871,18,21053,295
93,116.8549682,40.09912929,17,27338,382
94,117.1159168,40.16943283,54,27476,385
95,116.3200042,40.18951644,4,24150,338
96,116.5287221,40.10917381,55,65863,921
97,116.2939233,39.81766108,26,57140,800
98,116.620064,40.17947479,23,37025,518
99,116.6983641,39.91824252,56,56392,789
100,117.2593655,40.19955779,27,22123,309
101,116.150525,39.81766108,4,54653,765
102,115.8250128,40.47061306,23,16798,235
103,116.3460874,39.90818763,48,221266,3097
104,116.4895796,39.9685072,28,41894,586
105,117.1941702,40.33007471,6,22123,309
106,116.5548186,40.06899316,17,50219,703
107,116.5287221,39.78747148,13,29213,408
108,116.3852162,39.79753552,17,45540,637
109,116.5939652,39.70692738,14,22237,310
110,116.620064,40.01875684,18,44545,624
111,116.6983641,39.65655647,14,32352,452
112,117.0115527,40.07903898,4,28171,394
113,116.4895796,39.76734085,18,82992,1161
114,116.0853743,39.98860877,22,28494,398
115,116.1765909,40.24976058,22,40560,567
116,116.4113045,40.72164451,13,21430,300
117,116.5287221,39.64647925,56,22498,314
118,116.2548064,40.04890012,18,116572,1632
119,116.2026599,39.93835031,18,76658,1072
120,116.5678672,39.73713826,18,34968,489
121,116.2808837,39.93835031,27,151183,2116
122,116.5548186,39.94840323,31,59054,826
123,116.828868,40.06899316,10,29212,409
124,116.1765909,39.78747148,31,40726,570
125,116.3591298,40.02880511,35,98091,1373
126,116.7897171,39.79753552,27,21545,301
127,116.9071666,40.46057445,23,13543,189
128,116.3460874,40.10917381,31,73447,1028
129,116.3982601,39.50528192,11,31934,447
130,116.8549682,40.16943283,20,30492,427
131,116.1896251,40.03885287,13,70993,993
133,116.4895796,39.82772264,23,54211,758
134,115.8120065,40.01875684,22,14778,206
135,116.4895796,40.14934794,46,47427,663
136,116.3982601,40.19955779,55,49819,697
137,116.7244649,40.21963965,14,36500,511
138,116.2287318,40.17947479,22,23615,331
