HHD,PID,Gender,Age,Income,Hhd_income,License,Status,Education,Hhd_size,Residence,WS,ID,Rela
1,1,1,31,9000,108000,1,2,7,1,519,Firms,0,1
2,2,1,27,9000,108000,1,2,7,1,483,Firms,1,1
3,3,1,29,9000,108000,1,2,7,1,780,Firms,2,1
4,4,1,25,9000,108000,1,2,7,1,1573,Firms,3,1
5,5,1,31,9000,108000,1,2,7,1,1058,Firms,4,1
6,6,1,29,9000,108000,1,2,7,1,424,Firms,5,1
7,7,1,31,9000,108000,1,2,7,1,1182,Firms,6,1
8,8,1,33,9000,108000,1,2,7,1,759,Firms,7,1
9,9,1,27,9000,108000,1,2,7,1,11,Firms,8,1
10,10,1,32,7000,84000,1,2,7,1,32,Firms,9,1
11,11,1,34,7000,84000,1,2,7,1,1387,Firms,10,1
12,12,1,32,7000,84000,1,2,7,1,1182,Firms,11,1
13,13,1,27,7000,84000,1,2,7,1,1094,Firms,12,1
14,14,1,28,7000,84000,1,2,7,1,910,Firms,13,1
15,15,1,33,7000,84000,1,2,7,1,958,Firms,14,1
16,16,1,26,7000,84000,1,2,7,1,1161,Firms,15,1
17,17,1,31,7000,84000,1,2,7,1,192,Firms,16,1
18,18,1,25,7000,84000,1,2,7,1,55,Firms,17,1
19,19,1,34,7000,84000,1,2,7,1,292,Firms,18,1
20,20,1,33,7000,84000,1,2,7,1,196,Firms,19,1
21,21,1,25,7000,84000,1,2,7,1,935,Firms,20,1
22,22,1,18,9000,108000,1,2,6,1,1532,Firms,21,1
23,23,1,20,9000,108000,1,2,6,1,958,Firms,22,1
24,24,1,19,9000,108000,1,2,6,1,144,Firms,23,1
25,25,1,24,9000,108000,1,2,6,1,744,Firms,24,1
26,26,1,20,9000,108000,1,2,6,1,1182,Firms,25,1
27,27,1,22,9000,108000,1,2,6,1,962,Firms,26,1
28,28,1,21,9000,108000,1,2,6,1,1573,Firms,27,1
29,29,1,18,9000,108000,1,2,6,1,962,Firms,28,1
30,30,1,23,9000,108000,1,2,6,1,183,Firms,29,1
31,31,1,18,9000,108000,1,2,6,1,1182,Firms,30,1
32,32,1,23,9000,108000,1,2,6,1,470,Firms,31,1
33,33,1,20,9000,108000,1,2,6,1,247,Firms,32,1
34,34,1,21,9000,108000,1,2,6,1,1091,Firms,33,1
35,35,1,23,9000,108000,1,2,6,1,1880,Firms,34,1
36,36,1,20,9000,108000,1,2,6,1,958,Firms,35,1
37,37,1,22,9000,108000,1,2,6,1,144,Firms,36,1
38,38,1,24,9000,108000,1,2,6,1,1094,Firms,37,1
39,39,1,24,9000,108000,1,2,6,1,341,Firms,38,1
40,40,1,18,9000,108000,1,2,6,1,1182,Firms,39,1
41,41,1,20,9000,108000,1,2,6,1,628,Firms,40,1
42,42,1,21,9000,108000,1,2,6,1,1196,Firms,41,1
43,43,1,20,9000,108000,1,2,6,1,175,Firms,42,1
44,44,0,7,0,0,0,1,2,1,962,Schools,1972,1
45,45,0,14,0,0,0,1,3,1,1404,Schools,2126,1
46,46,0,5,0,0,0,1,1,1,337,Schools,2453,1
47,47,0,5,0,0,0,1,1,1,18,Schools,2453,1
48,48,0,2,0,0,0,1,0,1,1025,0,0,1
49,49,0,1,0,0,0,1,0,1,373,0,0,1
50,50,0,11,0,0,0,1,2,1,1168,Schools,1981,1
51,51,0,11,0,0,0,1,2,1,1078,Schools,1982,1
52,52,0,11,0,0,0,1,2,1,958,Schools,1983,1
53,53,0,5,0,0,0,1,1,1,759,Schools,2453,1
54,54,0,0,0,0,0,1,0,1,751,0,0,1
55,55,1,22,12500,150000,1,2,6,1,1182,Firms,54,1
56,56,1,23,12500,150000,1,2,6,1,215,Firms,55,1
57,57,1,20,12500,150000,1,2,6,1,400,Firms,56,1
58,58,1,22,12500,150000,1,2,6,1,479,Firms,57,1
59,59,1,23,12500,150000,1,2,6,1,1180,Firms,58,1
60,60,1,22,12500,150000,1,2,6,1,133,Firms,59,1
61,61,1,19,12500,150000,1,2,6,1,935,Firms,60,1
62,62,1,20,12500,150000,1,2,6,1,47,Firms,61,1
63,63,1,18,12500,150000,1,2,6,1,299,Firms,62,1
64,64,1,23,12500,150000,1,2,6,1,10,Firms,63,1
65,65,1,22,12500,150000,1,2,6,1,54,Firms,64,1
66,66,1,22,12500,150000,1,2,6,1,35,Firms,65,1
67,67,1,20,12500,150000,1,2,6,1,1,Firms,66,1
68,68,1,23,12500,150000,1,2,6,1,1078,Firms,67,1
69,69,1,20,12500,150000,1,2,6,1,122,Firms,68,1
70,70,1,19,12500,150000,1,2,6,1,31,Firms,69,1
71,71,1,61,3000,256025,1,4,3,4,97,0,0,0
71,72,0,49,5250,256025,1,3,5,4,97,0,0,0
71,73,0,66,13085,256025,0,2,5,4,97,Schools,2462,1
71,74,0,10,0,256025,0,1,2,4,97,Schools,1969,0
72,75,1,30,12500,150000,1,2,7,1,298,Firms,70,1
73,76,1,25,12500,150000,1,2,7,1,136,Firms,71,1
74,77,1,31,12500,150000,1,2,7,1,128,Firms,72,1
75,78,1,27,12500,150000,1,2,7,1,565,Firms,73,1
76,79,1,31,12500,150000,1,2,7,1,687,Firms,74,1
77,80,1,27,12500,150000,1,2,7,1,249,Firms,75,1
78,81,1,29,12500,150000,1,2,7,1,1189,Firms,76,1
79,82,1,25,12500,150000,1,2,7,1,935,Firms,77,1
80,83,1,29,12500,150000,1,2,7,1,337,Firms,78,1
81,84,1,25,12500,150000,1,2,7,1,54,Firms,79,1
82,85,1,32,12500,150000,1,2,7,1,103,Firms,80,1
83,86,1,25,12500,150000,1,2,7,1,400,Firms,81,1
84,87,1,25,12500,150000,1,2,7,1,920,Firms,82,1
85,88,1,29,12500,150000,1,2,7,1,606,Firms,83,1
86,89,1,34,12500,150000,1,2,7,1,301,Firms,84,1
87,90,1,25,12500,150000,1,2,7,1,1258,Firms,85,1
88,91,1,25,12500,150000,1,2,7,1,925,Firms,86,1
89,92,1,33,12500,150000,1,2,7,1,687,Firms,87,1
90,93,1,25,12500,150000,1,2,7,1,751,Firms,88,1
91,94,1,29,12500,150000,1,2,7,1,400,Firms,89,1
92,95,1,29,12500,150000,1,2,7,1,687,Firms,90,1
93,96,1,30,12500,150000,1,2,7,1,44,Firms,91,1
94,97,1,33,12500,150000,1,2,7,1,1225,Firms,92,1
95,98,1,27,12500,150000,1,2,7,1,1633,Firms,93,1
96,99,1,25,12500,150000,1,2,7,1,373,Firms,94,1
97,100,1,32,12500,150000,1,2,7,1,747,Firms,95,1
98,101,1,27,12500,150000,1,2,7,1,1387,Firms,96,1
99,102,1,29,12500,150000,1,2,7,1,569,Firms,97,1
100,103,1,32,12500,150000,1,2,7,1,30,Firms,98,1
101,104,1,26,12500,150000,1,2,7,1,1153,Firms,99,1
102,105,1,27,12500,150000,1,2,7,1,1078,Firms,100,1
103,106,1,34,12500,150000,1,2,7,1,1439,Firms,101,1
104,107,1,32,12500,150000,1,2,7,1,1078,Firms,102,1
105,108,1,30,12500,150000,1,2,7,1,161,Firms,103,1
106,109,1,64,7000,342000,1,4,5,3,5,0,0,1
106,110,1,49,9000,342000,1,2,5,3,5,Firms,889,0
106,111,1,18,12500,342000,1,2,6,3,5,Firms,160,0
107,112,1,59,9000,342000,1,3,5,3,5,0,0,0
107,113,1,48,12500,342000,1,2,5,3,5,Shops,1451,1
107,114,1,24,7000,342000,1,2,6,3,5,Schools,2463,0
108,115,0,50,12500,360000,1,2,6,3,5,Firms,599,1
108,116,0,36,17500,360000,1,2,6,3,5,Firms,696,0
108,117,0,9,0,360000,0,1,2,3,5,Schools,1992,0
109,118,0,53,12500,240782,1,2,6,3,5,Firms,431,1
109,119,0,42,7565,240782,1,2,6,3,5,Schools,1969,0
109,120,0,8,0,240782,0,1,2,3,5,Schools,1969,0
110,121,0,54,12500,244810,1,2,6,3,1387,Firms,790,1
110,122,0,40,7901,244810,1,2,6,3,1387,Schools,1970,0
110,123,0,10,0,244810,0,1,2,3,1387,Schools,1970,0
111,124,0,41,17500,324315,1,2,6,3,14,Firms,214,1
111,125,0,53,9526,324315,0,2,6,3,14,Schools,1971,0
111,126,0,21,0,324315,1,1,7,3,14,Schools,2270,0
112,127,0,50,12500,263440,1,2,6,3,14,Firms,143,1
112,128,0,36,9453,263440,1,2,6,3,14,Schools,1972,0
112,129,0,7,0,263440,0,1,2,3,14,Schools,1971,0
113,130,0,46,12500,360000,1,2,6,3,17,Firms,722,0
113,131,0,43,17500,360000,1,2,6,3,17,Firms,930,1
113,132,0,14,0,360000,0,1,3,3,17,Schools,2195,0
114,133,0,48,12500,249184,1,2,6,3,304,Firms,704,0
114,134,0,38,8265,249184,1,2,6,3,304,Schools,1973,1
114,135,0,12,0,249184,0,1,3,3,304,Schools,2133,0
115,136,0,49,12500,240040,1,2,6,3,304,Firms,800,1
115,137,0,40,7503,240040,1,2,6,3,304,Schools,1974,0
115,138,0,9,0,240040,0,1,2,3,304,Schools,1972,0
116,139,0,41,12500,216388,1,2,6,3,746,Shops,1806,1
116,140,0,48,5532,216388,0,2,6,3,746,Schools,1975,0
116,141,0,22,0,216388,1,1,9,3,746,Schools,2359,0
117,142,0,47,12500,360000,1,2,6,3,31,Firms,69,0
117,143,0,38,17500,360000,1,2,6,3,31,Firms,69,1
117,144,0,6,0,360000,0,1,2,3,31,Schools,2091,0
118,145,0,37,12500,360000,1,2,6,3,31,Firms,69,0
118,146,0,51,17500,360000,1,2,6,3,31,Firms,170,1
118,147,0,10,0,360000,0,1,2,3,31,Schools,2092,0
119,148,0,52,17500,360000,1,2,6,3,751,Firms,168,1
119,149,0,36,12500,360000,1,2,6,3,751,Firms,379,0
119,150,0,15,0,360000,0,1,5,3,751,Schools,2427,0
120,151,0,44,17500,360000,1,2,6,3,751,Firms,88,0
120,152,0,52,12500,360000,1,2,6,3,751,Firms,489,1
120,153,0,12,0,360000,0,1,3,3,751,Schools,2133,0
121,154,0,46,12500,360000,1,2,6,3,751,Firms,379,1
121,155,0,35,17500,360000,1,2,6,3,751,Firms,867,0
121,156,0,14,0,360000,0,1,3,3,751,Schools,2195,0
122,157,0,40,17500,360000,1,2,6,3,34,Firms,440,0
122,158,0,49,12500,360000,0,2,6,3,34,Firms,505,0
122,159,0,22,0,360000,1,1,9,3,34,Schools,2371,1
123,160,0,41,17500,291766,1,2,6,3,34,Firms,899,1
123,161,0,47,6814,291766,1,2,6,3,34,Schools,1976,0
123,162,0,15,0,291766,0,1,5,3,34,Schools,2431,0
124,163,0,50,12500,242244,1,2,6,3,835,Firms,503,1
124,164,0,42,7687,242244,1,2,6,3,835,Schools,1977,0
124,165,0,16,0,242244,0,1,5,3,835,Schools,2431,0
125,166,0,35,12500,360000,1,2,6,3,835,Firms,142,1
125,167,0,52,17500,360000,1,2,6,3,835,Firms,333,0
125,168,0,9,0,360000,0,1,2,3,835,Schools,2115,0
126,169,0,45,12500,226677,1,2,6,3,37,Firms,819,1
126,170,0,42,6390,226677,1,2,6,3,37,Schools,1978,0
126,171,0,17,0,226677,0,1,5,3,37,Schools,2432,0
127,172,0,36,17500,360000,1,2,6,3,37,Firms,144,1
127,173,0,48,12500,360000,1,2,6,3,37,Firms,979,0
127,174,0,16,0,360000,0,1,5,3,37,Schools,2430,0
128,175,0,36,12500,246232,1,2,6,3,37,Shops,1719,1
128,176,0,53,8019,246232,1,2,6,3,37,Schools,1979,0
128,177,0,15,0,246232,0,1,5,3,37,Schools,2433,0
129,178,0,43,12500,210170,1,2,6,3,1880,Shops,1512,1
129,179,0,54,5014,210170,1,2,6,3,1880,Schools,1980,0
129,180,0,8,0,210170,0,1,2,3,1880,Schools,1973,0
130,181,0,43,17500,277039,1,2,6,3,925,Firms,194,1
130,182,0,52,5587,277039,1,2,6,3,925,Schools,1981,0
130,183,0,11,0,277039,0,1,2,3,925,Schools,1973,0
131,184,0,40,17500,301326,1,2,6,3,44,Firms,91,1
131,185,0,46,7611,301326,1,2,6,3,44,Schools,1982,0
131,186,0,17,0,301326,0,1,5,3,44,Schools,2434,0
132,187,0,39,17500,360000,1,2,6,3,45,Firms,243,1
132,188,0,50,12500,360000,1,2,6,3,45,Firms,609,0
132,189,0,6,0,360000,0,1,2,3,45,Schools,2080,0
133,190,0,50,17500,273804,1,2,6,3,1078,Firms,84,1
133,191,0,38,5317,273804,1,2,6,3,1078,Schools,1983,0
133,192,0,17,0,273804,0,1,5,3,1078,Schools,2434,0
134,193,0,51,12500,236779,1,2,6,3,50,Firms,777,0
134,194,0,39,7232,236779,0,2,6,3,50,Schools,1984,1
134,195,0,23,0,236779,1,1,9,3,50,Schools,2360,0
135,196,0,43,17500,318993,1,2,6,3,50,Firms,563,0
135,197,0,50,9083,318993,0,2,6,3,50,Schools,1985,1
135,198,0,20,0,318993,1,1,7,3,50,Schools,2271,0
136,199,0,48,17500,317905,1,2,6,3,400,Firms,229,1
136,200,0,43,8992,317905,0,2,6,3,400,Schools,1986,0
136,201,0,18,0,317905,1,1,7,3,400,Schools,2272,0
137,202,0,43,12500,230017,1,2,6,3,400,Firms,180,1
137,203,0,50,6668,230017,1,2,6,3,400,Schools,1987,0
137,204,0,15,0,230017,0,1,5,3,400,Schools,2436,0
138,205,0,45,17500,256452,1,2,6,3,400,Shops,1937,1
138,206,0,36,3871,256452,1,2,6,3,400,Schools,1988,0
138,207,0,17,0,256452,0,1,5,3,400,Schools,2437,0
139,208,0,53,17500,282570,1,2,6,3,57,Firms,16,1
139,209,0,37,6048,282570,1,2,6,3,57,Schools,1989,0
139,210,0,13,0,282570,0,1,3,3,57,Schools,2134,0
140,211,0,44,12500,226046,1,2,6,3,57,Shops,1900,0
140,212,0,49,6337,226046,1,2,6,3,57,Schools,1990,1
140,213,0,11,0,226046,0,1,2,3,57,Schools,1974,0
141,214,0,39,17500,303520,1,2,6,3,57,Firms,230,1
141,215,0,49,7793,303520,1,2,6,3,57,Schools,1991,0
141,216,0,15,0,303520,0,1,5,3,57,Schools,2438,0
142,217,1,30,7000,84000,1,2,7,1,1573,Firms,104,1
143,218,1,32,7000,84000,1,2,7,1,128,Firms,105,1
144,219,1,33,7000,84000,1,2,7,1,670,Firms,106,1
145,220,1,26,7000,84000,1,2,7,1,279,Firms,107,1
146,221,1,28,7000,84000,1,2,7,1,489,Firms,108,1
147,222,1,27,7000,84000,1,2,7,1,641,Firms,109,1
148,223,1,30,7000,84000,1,2,7,1,118,Firms,110,1
149,224,1,27,7000,84000,1,2,7,1,279,Firms,111,1
150,225,1,29,7000,84000,1,2,7,1,519,Firms,112,1
151,226,1,26,7000,84000,1,2,7,1,127,Firms,113,1
152,227,1,27,7000,84000,1,2,7,1,122,Firms,114,1
153,228,0,28,5250,276000,1,2,5,3,1573,Shops,1361,0
153,229,1,48,5250,276000,1,2,5,3,1573,Schools,1992,1
153,230,1,32,12500,276000,1,2,6,3,1573,Firms,290,0
154,231,0,53,12500,276000,1,2,5,3,61,Firms,911,0
154,232,1,30,5250,276000,1,2,5,3,61,Schools,1993,0
154,233,1,27,5250,276000,1,2,6,3,61,Shops,1182,1
155,234,0,33,5250,276000,1,2,5,3,64,Shops,1190,0
155,235,1,54,5250,276000,1,2,5,3,64,Schools,1994,1
155,236,1,27,12500,276000,1,2,6,3,64,Firms,589,0
156,237,0,32,5250,276000,1,2,5,3,64,Shops,1242,1
156,238,1,46,5250,276000,1,2,5,3,64,Shops,1861,0
156,239,1,28,12500,276000,1,2,6,3,64,Firms,242,0
157,240,0,54,12500,276000,1,2,5,3,68,Shops,1433,0
157,241,1,32,5250,276000,1,2,5,3,68,Schools,1995,0
157,242,1,26,5250,276000,1,2,6,3,68,Schools,1996,1
158,243,0,25,5250,276000,1,2,5,3,68,Shops,1724,0
158,244,1,50,5250,276000,1,2,5,3,68,Schools,1997,1
158,245,1,30,12500,276000,1,2,6,3,68,Firms,458,0
159,246,0,29,5250,276000,1,2,5,3,68,Firms,221,1
159,247,1,48,5250,276000,1,2,5,3,68,Firms,457,0
159,248,1,27,12500,276000,1,2,6,3,68,Firms,439,0
160,249,0,33,5250,276000,1,2,5,3,856,Shops,1529,0
160,250,1,49,12500,276000,1,2,5,3,856,Shops,1529,0
160,251,1,30,5250,276000,1,2,6,3,856,Schools,1998,1
161,252,0,29,5250,276000,1,2,5,3,856,Firms,653,0
161,253,1,50,12500,276000,1,2,5,3,856,Firms,840,0
161,254,1,29,5250,276000,1,2,6,3,856,Schools,1999,1
162,255,0,30,12500,276000,1,2,5,3,72,Shops,1326,1
162,256,1,52,5250,276000,1,2,5,3,72,Schools,2000,0
162,257,1,30,5250,276000,1,2,6,3,72,Shops,1359,0
163,258,1,27,9000,108000,1,2,7,1,856,Firms,115,1
164,259,1,29,9000,108000,1,2,7,1,687,Firms,116,1
165,260,1,29,9000,108000,1,2,7,1,226,Firms,117,1
166,261,1,25,9000,108000,1,2,7,1,85,Firms,118,1
167,262,1,32,9000,108000,1,2,7,1,856,Firms,119,1
168,263,1,34,9000,108000,1,2,7,1,751,Firms,120,1
169,264,1,31,9000,108000,1,2,7,1,751,Firms,121,1
170,265,1,32,9000,108000,1,2,7,1,772,Firms,122,1
171,266,1,30,9000,108000,1,2,7,1,183,Firms,123,1
172,267,1,34,9000,108000,1,2,7,1,646,Firms,124,1
173,268,1,34,9000,108000,1,2,7,1,425,Firms,125,1
174,269,1,34,9000,108000,1,2,7,1,777,Firms,126,1
175,270,1,25,9000,108000,1,2,7,1,1387,Firms,127,1
176,271,1,31,9000,108000,1,2,7,1,1295,Firms,128,1
177,272,1,30,9000,108000,1,2,7,1,1880,Firms,129,1
178,273,1,32,9000,108000,1,2,7,1,248,Firms,130,1
179,274,1,28,9000,108000,1,2,7,1,856,Firms,131,1
180,275,1,32,9000,108000,1,2,7,1,1168,Firms,132,1
181,276,1,30,9000,108000,1,2,7,1,746,Firms,133,1
182,277,1,28,9000,108000,1,2,7,1,1422,Firms,134,1
183,278,1,32,9000,108000,1,2,7,1,1920,Firms,135,1
184,279,1,32,9000,108000,1,2,7,1,693,Firms,136,1
185,280,1,31,9000,108000,1,2,7,1,578,Firms,137,1
186,281,1,28,9000,108000,1,2,7,1,249,Firms,138,1
187,282,1,28,9000,108000,1,2,7,1,1078,Firms,139,1
